rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_hdac6,pIC50_hdac1,pIC50_hdac2,pIC50_hdac3,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
5744,CAND-00106,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)c(Cl)c2)c2ccc(C(=O)NO)cc2)cc1,0.2162451488852141,7.355625468824967,0.6955798218092347,0.7185637919059414,0.3333333333333333,0.0601124006638141,2,0.5,-2.1605430999999964,4,0.7910447761194029,True,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)c(Cl)c2)c2ccc(C(=O)NO)cc2)cc1,6.74,6.0,6.1,6.41,0.33,False,3.1,728.1,7.02,2,5,107.0,10,False,True,0.516,False
5745,CAND-00629,COc1ccc(N(C)c2nc(C)nc3cccc(OC)c23)cc1OCCCC(=O)NO,0.2161200888510777,6.718186387659711,0.4816585848419965,0.5979101190565701,0.5,0.3047029509371906,2,0.5,-2.8962041000000016,3,0.7903225806451613,False,COc1ccc(N(C)c2nc(C)nc3cccc(OC)c23)cc1OCCCC(=O)NO,7.05,6.42,6.72,6.43,0.33,False,2.59,426.5,3.39,2,8,106.0,9,True,True,0.702,False
5746,CAND-01687,COc1cc([C@@H]2c3c(cc4c(c3C#N)OCO4)[C@@H](Nc3ccc(OCCCCCCCC(=O)NO)cc3)[C@H]3COC(=O)[C@H]23)cc(OC)c1O,0.2161193890962584,7.327441825231341,0.686121537750512,0.5758477116088871,0.3333333333333333,0.0750378088353139,2,0.5,-3.0307251,4,0.7790697674418605,True,COc1cc([C@@H]2c3c(cc4c(c3C#N)OCO4)[C@@H](Nc3ccc(OCCCCCCCC(=O)NO)cc3)[C@H]3COC(=O)[C@H]23)cc(OC)c1O,7.43,7.04,6.77,7.15,0.28,False,4.41,673.7,5.32,4,12,177.8,14,False,False,0.487,False
5747,CAND-01688,COc1cc([C@@H]2c3cc4c(c(C#N)c3[C@@H](Nc3ccc(OCCCCCCCC(=O)NO)cc3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,0.2161193890962583,7.327441825231341,0.686121537750512,0.5758477116088869,0.3333333333333333,0.0750378088353136,2,0.5,-3.0307251,4,0.7790697674418605,True,COc1cc([C@@H]2c3cc4c(c(C#N)c3[C@@H](Nc3ccc(OCCCCCCCC(=O)NO)cc3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,7.43,7.03,6.76,7.15,0.28,False,4.4,673.7,5.32,4,12,177.8,14,False,False,0.496,False
5748,CAND-00139,CC(C)(CF)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2)c2ccc(C(=O)NO)cc2)cc1,0.2160698097562545,7.355625468824967,0.6955798218092347,0.6530720419336132,0.3333333333333333,0.0589434731374164,2,0.5,-2.559865599999997,4,0.8571428571428571,True,CC(C)(CF)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2)c2ccc(C(=O)NO)cc2)cc1,6.86,6.01,5.97,6.33,0.53,False,3.2,711.7,6.31,2,5,107.0,12,False,False,0.679,False
5749,CAND-00130,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)c(C(F)(F)F)c2)c2ccc(C(=O)NO)cc2)cc1,0.2158871048406657,7.355625468824967,0.6955798218092347,0.7275459393491343,0.3333333333333333,0.0577254403668244,2,0.5,-2.105776299999998,4,0.7794117647058824,True,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)c(C(F)(F)F)c2)c2ccc(C(=O)NO)cc2)cc1,6.74,6.0,6.09,6.31,0.43,False,3.24,761.7,7.38,2,5,107.0,10,False,True,0.428,False
5750,CAND-00127,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2)c2ccc(C(=O)NO)cc2)cc1C(F)(F)F,0.2158871048406657,7.355625468824967,0.6955798218092347,0.7275459393491343,0.3333333333333333,0.0577254403668244,2,0.5,-2.105776299999998,4,0.7794117647058824,True,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2)c2ccc(C(=O)NO)cc2)cc1C(F)(F)F,6.76,5.95,5.94,6.26,0.5,False,3.28,761.7,7.38,2,5,107.0,10,False,True,0.645,False
5751,CAND-00131,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2)c2ccc(C(=O)NO)cc2C(F)(F)F)cc1,0.2158871048406657,7.355625468824967,0.6955798218092347,0.7275459393491343,0.3333333333333333,0.0577254403668244,2,0.5,-2.105776299999998,4,0.7794117647058824,True,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2)c2ccc(C(=O)NO)cc2C(F)(F)F)cc1,6.81,5.91,5.73,6.24,0.57,False,3.27,761.7,7.38,2,5,107.0,10,False,True,0.477,False
5752,CAND-00129,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2C(F)(F)F)c2ccc(C(=O)NO)cc2)cc1,0.2158871048406657,7.355625468824967,0.6955798218092347,0.7275459393491343,0.3333333333333333,0.0577254403668244,2,0.5,-2.105776299999998,4,0.7647058823529411,True,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2C(F)(F)F)c2ccc(C(=O)NO)cc2)cc1,6.82,5.98,5.94,6.3,0.52,False,3.26,761.7,7.38,2,5,107.0,10,False,True,0.461,False
5753,CAND-00627,COc1ccc2c(N(C)c3ccc(OC)c(OCCCC(=O)NO)c3)nc(C)nc2c1,0.2157945102994655,6.714305772612247,0.4803562706355476,0.5979101190565702,0.5,0.3047029509371907,2,0.5,-2.8962041000000007,3,0.819672131147541,False,COc1ccc2c(N(C)c3ccc(OC)c(OCCCC(=O)NO)c3)nc(C)nc2c1,7.1,6.69,6.83,6.37,0.27,False,2.52,426.5,3.39,2,8,106.0,9,True,True,0.638,False
