molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements,n_backbone
CHEMBL147005,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(CCC)C3=O)C[C@@H]2C(=O)NO)cc1,6.24,1,2
CHEMBL343860,CCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(C)C3=O)C[C@@H]2C(=O)NO)cc1,6.24,1,2
CHEMBL300875,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)COc1ccccc1,6.22,1,2
CHEMBL343414,CN1CC(=O)N([C@H]2C[C@H](C(=O)NO)N(S(=O)(=O)c3ccc(Oc4ccncc4)cc3)C2)C1=O,6.22,1,2
CHEMBL88559,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CNC(=O)OC(C)(C)C)CC2C(=O)NO)cc1,6.16,1,2
CHEMBL538028,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CN)CC2C(=O)NO)cc1.Cl,6.15,1,2
CHEMBL330728,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(CCCN1C(=O)c2cccc3cccc(c23)C1=O)P(=O)(O)O,6.14,1,2
CHEMBL46083,CC[C@@H](N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)NC)P(=O)(O)O,6.13,1,2
CHEMBL296894,CC[C@H](N[C@@H](CC(C)C)C(=O)N[C@@H](Cn1cccn1)C(=O)NC)P(=O)(O)O,6.12,1,2
CHEMBL146951,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)NC(SC)C3=O)C[C@@H]2C(=O)NO)cc1,6.12,1,2
CHEMBL423015,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)NC(C)(C)C3=O)C[C@@H]2C(=O)NO)cc1,6.11,1,2
CHEMBL337071,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)[C@@H](S)CC(=O)NC(CC(C)C)C(=O)O,6.08,1,2
CHEMBL120305,COc1ccc(S(=O)(=O)N2CCCCN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,6.08,1,2
CHEMBL4442617,O=C(NCC[C@@H](NS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)NO)c1cccc(C(=O)NCC[C@@H](NS(=O)(=O)c2ccc(-c3ccccc3)cc2)C(=O)NO)c1,6.06,1,2
CHEMBL342102,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(C)C3=O)C[C@@H]2C(=O)NO)cc1,6.04,1,2
CHEMBL132053,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)[C@@H](S)CC(=O)NC(CC(C)C)C(=O)OC(C)(C)C,6.01,1,2
CHEMBL3221864,COCCc1cc(COc2ccc([C@]3(N)CCN([C@H](CC(C)C)C(=O)NO)C3=O)cc2)c2ccccc2n1,5.97,1,2
CHEMBL3221863,COCc1cc(COc2ccc([C@]3(N)CCN([C@H](CC(C)C)C(=O)NO)C3=O)cc2)c2ccccc2n1,5.95,1,2
CHEMBL348755,CC(C)C[C@H](N[C@H](CCN1C(=O)c2cc3ccccc3cc2C1=O)C(=O)O)C(=O)Nc1ccccc1,5.93,1,2
CHEMBL1939845,CC(C)[C@@H]1C(=O)N(O)C(=O)CN1S(=O)(=O)c1ccc(-c2ccccc2)cc1,5.89,1,2
CHEMBL46787,CC[C@H](N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)NCCN1CCCC1)C(=O)NC)P(=O)(O)O,5.87,1,2
CHEMBL124623,CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C=O)CC(C)C,5.85,1,2
CHEMBL262397,CC(C)ON([C@H](CCNC(=O)CCCNC(=O)c1cccc(C(=O)NCCCC(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,5.84,2,2
CHEMBL472899,O=C(O)CN(CC(=O)NO)S(=O)(=O)c1ccc(Oc2ccccc2)cc1,5.82,1,2
CHEMBL48043,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@@H](CC(C)C)P(=O)(O)O,5.81,1,2
CHEMBL71573,O=C1N[C@@H](CS)C(=O)N(CC2CCCCC2)[C@@H]1CC1CCCCC1,5.8,1,2
CHEMBL1939846,CC(C)[C@@H]1C(=O)N(O)C(=O)CN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,5.8,1,2
CHEMBL3944931,CC(C)[C@H](C(=O)NO)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)N(C)C)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,5.8,1,2
CHEMBL96277,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCN1C(=O)c2cccc3c(Br)ccc(c23)C1=O)P(=O)(O)O,5.79,1,2
CHEMBL147261,COCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)CN(C)C3=O)C[C@@H]2C(=O)NO)cc1,5.75,1,2
CHEMBL443261,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)N[C@H](CCc1ccccc1)P(=O)(O)O,5.74,2,2
CHEMBL421481,CCCCCCN1C(=O)[C@H](Cc2cccnc2)NC(=O)[C@H]1CS,5.7,1,2
CHEMBL132762,CC(C)C[C@H](NC(=O)[C@H](N)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1ccccc1,5.7,1,3
CHEMBL3951740,CC(C)[C@H](C(=O)O)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)N(C)C)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,5.69,1,2
CHEMBL328996,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(C)C)NC(CN1C(=O)c2cccc3cccc(c23)C1=O)P(=O)(O)O,5.67,1,2
CHEMBL3142562,CC[C@H](N[C@@H](CC(C)C)C(=O)NC1CCCCNCCCNC1=O)P(=O)(O)O,5.65,1,2
CHEMBL334107,CCCCOc1ccc(S(=O)(=O)N2CC(C)(C)CN(S(=O)(=O)c3ccc(OCCCC)cc3)C2C(=O)NO)cc1,5.63,1,2
CHEMBL147494,CCCN1CC(=O)N([C@H]2C[C@H](C(=O)NO)N(S(=O)(=O)c3ccc(OCCOC)cc3)C2)C1=O,5.6,1,2
CHEMBL69726,O=C1N[C@H](CS)C(=O)N(CC2CCCCC2)[C@H]1CC1CCCCC1,5.58,1,2
CHEMBL47054,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C(CC(C)C)NC(C(C)C)P(=O)(O)O,5.54,1,2
CHEMBL296002,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)C(CC(C)C)NC(CC(C)C)P(=O)(O)O,5.54,1,2
CHEMBL356504,C=CCN1CC(=O)N([C@H]2C[C@H](C(=O)NO)N(S(=O)(=O)c3ccc(OCCOC)cc3)C2)C1=O,5.54,1,2
CHEMBL180410,CC#CCOc1ccc(S(=O)(=O)N2CCCN(C(=O)CN)CC2C(=O)NO)cc1,5.52,1,2
CHEMBL298585,NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CS)NC(=O)CCc1ccccc1,5.46,1,2
CHEMBL44103,CNC(=O)[C@H](Cc1ccc(OC)cc1)NC(=O)[C@H](CC(C)C)N[C@@H](C)C(=O)O,5.46,1,3
CHEMBL56753,CC(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1cccs1)C(N)=O,5.4,1,2
CHEMBL293481,CC(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1cccnc1)C(N)=O,5.4,1,2
CHEMBL294997,CC[C@H](N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)NC)P(=O)(O)O,5.37,1,2
CHEMBL369574,CC#CCOc1ccc(S(=O)(=O)N2CCCN(C(=O)CNC(=O)OC(C)(C)C)CC2C(=O)NO)cc1,5.34,1,2
CHEMBL333567,COc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(OC)cc3)C2C(=O)NO)cc1,5.33,1,2
CHEMBL1939844,COc1ccc(S(=O)(=O)N2CC(=O)N(O)C(=O)[C@H]2C(C)C)cc1,5.31,1,2
CHEMBL418103,CC(=O)N[C@@H](CS)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,5.3,1,2
CHEMBL319808,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)CN3CCN(C)CC3)CC2C(=O)NO)cc1,5.3,2,2
CHEMBL2370820,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@@H](C)N)c1ccccc1)C(=O)Nc1ccccc1,5.23,1,3
CHEMBL5894425,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NO,5.21,1,3
CHEMBL515083,COc1ccc(S(=O)(=O)N(CC(=O)O)CC(=O)NO)cc1,5.17,1,2
CHEMBL56192,CC(=O)N[C@@H](CS)C(=O)N[C@H](C(N)=O)C(C)C,5.16,1,2
CHEMBL336419,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](C)N)C(=O)N[C@@H](C)c1ccccc1,5.12,1,3
CHEMBL5598430,Cn1c(=O)c2c(nc(S(C)(=O)=O)n2C)n(CC#Cc2cccc(NC(=O)CN3CCN(c4ccc5c(c4)C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)c2)c1=O,5.06,1,2
CHEMBL307320,CCCCCCCCN1C(=O)[C@H](Cc2cccnc2)NC(=O)[C@H]1CS,5.0,1,2
CHEMBL196647,CC(C)ON([C@H](CCNC(=O)c1cccc(C(=O)NCC[C@H](C(=O)NO)N(OC(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2)cc1,5.0,1,2
CHEMBL440527,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](C)N)C(=O)Nc1ccccc1,4.97,1,3
CHEMBL3960452,CC(C)[C@H](C(=O)O)N(CCNC(=O)c1cccc(C(=O)NCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c2ccc(-c3ccccc3)cc2)c1)S(=O)(=O)c1ccc(-c2ccccc2)cc1,4.93,1,2
CHEMBL183410,CCOCCC1(Oc2ccc(Oc3ccc(-c4nnco4)cc3)cc2)C(=O)NC(=O)C(N)C1=O,4.89,1,2
CHEMBL71120,O=C1N[C@H](CS)C(=O)N(CC2CCCCC2)[C@@H]1CC1CCCCC1,4.85,1,2
CHEMBL5220101,CC[C@H](C)[C@H](Nc1c(N(C)O)c(=S)c1=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)NC,4.82,1,2
CHEMBL297670,CC[C@H](N[C@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC)cc1)C(=O)NC)P(=O)(O)O,4.81,1,2
CHEMBL43879,CCCC(NC(CC(C)C)C(=O)N[C@@H](Cc1ccc(OC)cc1)C(=O)NC)P(=O)(O)O,4.8,1,2
CHEMBL342005,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](C)N)C(=O)NCCc1ccccc1,4.75,1,3
CHEMBL62089,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C3CCC(N4C(=O)CNC4=O)CC3)cc2)cc1,4.64,1,2
CHEMBL135216,CC(C)C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](C)N)C(=O)NCc1ccccc1,4.62,1,3
CHEMBL419395,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NP(=O)(O)CCCCN1C(=O)c2ccccc2C1=O)C(=O)NCc1ccccc1,4.52,1,2
CHEMBL48121,CC[C@@H](N[C@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(OC)cc1)C(=O)NC)P(=O)(O)O,4.41,1,2
CHEMBL93742,COc1ccc(S(=O)(=O)CC(NC(=O)CNC(=O)OCc2ccccc2)C(=O)NO)cc1,4.4,1,2
CHEMBL44691,CCCCC(NC(CC(C)C)C(=O)N[C@@H](Cc1ccc(OC)cc1)C(=O)NC)P(=O)(O)O,4.38,1,2
CHEMBL434624,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](C)N)C(=O)Nc1ccccc1,4.28,1,3
CHEMBL265769,CC(C)C(NC(=O)c1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)c(S(=O)(=O)NC(=O)CSc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)cc1)C(=O)N1[C@@H](C(=O)NC(C(=O)C(F)(F)F)C(C)C)C[C@H]2CCCC[C@H]21,4.24,1,3
