id,measured_delta,predicted_delta
CHEMBL207776,0.0,-0.17924499999999977
CHEMBL115653,0.17999999999999972,0.6133000000000006
CHEMBL45483,-0.4800000000000004,-0.3037232142857137
CHEMBL5205063,-0.4800000000000004,0.2014916666666664
CHEMBL99148,0.8200000000000003,0.9487749999999973
CHEMBL97936,0.120000000000001,0.4404999999999991
CHEMBL382975,-0.3699999999999992,-0.3253512500000013
CHEMBL97762,0.620000000000001,-1.7881208333333267
CHEMBL76356,0.7400000000000002,-1.0486770833333316
CHEMBL80496,-0.22000000000000064,-0.8050041666666664
CHEMBL139884,-0.8900000000000006,-0.43608500000000183
CHEMBL111262,-0.4300000000000006,-0.4328179166666668
CHEMBL95807,-1.2999999999999998,-1.2902375000000044
CHEMBL106016,-1.2600000000000007,-1.269074999999998
CHEMBL346624,-1.4900000000000002,-1.6166479166666674
CHEMBL95708,-1.0799999999999992,-1.4319208333333353
CHEMBL332134,-1.2700000000000005,-1.527787500000001
CHEMBL434187,-0.33999999999999986,-0.8123041666666666
CHEMBL5175662,-0.8000000000000007,-0.1563304166666668
CHEMBL96419,0.2400000000000002,-1.2547654166666617
CHEMBL97898,-1.2299999999999995,-1.3934500000000032
CHEMBL105311,-1.9900000000000002,-1.4179062500000004
CHEMBL80146,-0.6699999999999999,-1.311225000000001
CHEMBL515980,-2.25,-2.6079750000000015
CHEMBL316298,-1.0900000000000007,-1.2131249999999951
CHEMBL343082,-1.4699999999999998,-0.42336833333333473
CHEMBL316822,-1.4899999999999993,-1.9274000000000076
CHEMBL78001,-0.8900000000000006,-1.2725533928571415
CHEMBL123499,-1.5700000000000003,-1.8866999999999996
CHEMBL151133,-2.2700000000000005,-2.1483125000000016
CHEMBL5278767,-0.28000000000000025,-1.8463062499999985
CHEMBL76038,0.040000000000000036,-0.7451225595238096
CHEMBL287820,-1.8899999999999997,-1.5642218749999974
CHEMBL318190,0.09999999999999964,-0.3172125000000012
CHEMBL331834,-0.7300000000000004,-0.775712500000001
CHEMBL101612,-2.0600000000000005,-2.2736999999999954
CHEMBL539787,-1.2499999999999991,-1.5458499999999977
CHEMBL338077,-1.63,-1.4722500000000027
CHEMBL359502,-1.2600000000000007,-1.2641249999999975
CHEMBL68271,-1.5299999999999994,-1.667275000000005
CHEMBL320402,-0.9399999999999995,-1.0051874999999981
CHEMBL18614,-0.7399999999999993,-1.0130333333333323
CHEMBL311840,-1.4499999999999993,-1.5388570833333353
CHEMBL440178,-3.0999999999999996,-2.1838666666666673
CHEMBL311266,-1.620000000000001,-2.810797499999993
CHEMBL206815,-1.2599999999999998,-0.5527499999999993
CHEMBL289411,-0.7599999999999998,-1.4071375000000004
CHEMBL100134,-1.33,-1.1664833333333338
CHEMBL202932,-1.7699999999999996,-1.6808666666666687
CHEMBL150745,-2.1900000000000004,-2.1572124999999938
CHEMBL319341,-2.29,-2.338174999999993
CHEMBL206144,-0.27000000000000046,-0.7778333333333326
CHEMBL43479,-2.2300000000000004,-1.8400583333333367
CHEMBL91434,-2.9299999999999997,-3.0037375000000024
CHEMBL287823,-1.3900000000000006,-1.5968343749999958
CHEMBL81113,0.1299999999999999,-0.5234374999999976
CHEMBL101864,-1.5900000000000007,-1.6145499999999973
CHEMBL102415,-1.5599999999999996,-1.4791470833333318
CHEMBL113778,-1.6599999999999993,-1.9694520833333364
CHEMBL358061,-2.7200000000000006,-2.7179625000000103
CHEMBL141451,-1.7400000000000002,-1.6085250000000013
CHEMBL78299,-2.38,-1.5512500000000011
CHEMBL365892,-1.0999999999999996,-1.3563250000000016
CHEMBL147844,-1.700000000000001,-1.9323125000000072
CHEMBL326369,-2.8499999999999996,-2.574350000000001
CHEMBL95262,-0.8799999999999999,-1.3841375000000016
CHEMBL342570,-1.1999999999999993,-2.2151500000000075
CHEMBL306158,-1.4000000000000004,-1.2540875000000014
CHEMBL105962,-1.2200000000000006,-1.5409937499999997
CHEMBL1801049,-3.4800000000000004,-3.7485875000000033
CHEMBL80248,-0.5,-1.4079541666666655
CHEMBL116287,-2.5299999999999994,-2.225984999999994
CHEMBL372878,-2.835000000000001,-1.9016000000000068
CHEMBL92899,-1.5900000000000007,-2.746049999999999
CHEMBL77128,-1.4299999999999997,-1.7269925000000002
CHEMBL185375,-1.25,-1.3757375000000007
CHEMBL180484,-0.75,-1.058337500000002
CHEMBL2333287,1.0500000000000007,0.12088124999999944
CHEMBL77125,-1.13,-1.5961375000000013
CHEMBL489100,0.03000000000000025,-0.4911250000000003
CHEMBL147738,-2.6900000000000004,-2.926199999999996
CHEMBL419868,-0.8400000000000007,-1.3485625000000037
CHEMBL320383,-1.3899999999999997,-1.1460208333333306
CHEMBL77176,-2.3899999999999997,-2.419774999999994
CHEMBL114148,-2.5100000000000007,-2.6697750000000067
CHEMBL183924,-1.4000000000000004,-1.554975
CHEMBL3085155,-1.0899999999999999,-1.4503833333333318
CHEMBL80322,0.1200000000000001,-0.30923749999999844
CHEMBL112609,-2.4399999999999995,-2.8087525000000046
CHEMBL80378,-0.8099999999999996,-1.4323833333333287
CHEMBL359920,-0.41000000000000014,-1.1480249999999999
CHEMBL310655,-1.37,-1.4893875000000036
CHEMBL76878,-1.33,-1.3262187499999967
CHEMBL184007,-1.5999999999999996,-1.249683333333333
CHEMBL344453,-1.58,-1.0510624999999985
CHEMBL190563,-1.6899999999999995,-1.930125000000003
CHEMBL77995,-2.04,-1.9409827083333346
CHEMBL97790,-1.0300000000000002,-1.298225000000001
CHEMBL324806,-2.9699999999999998,-2.574350000000001
CHEMBL4072836,0.6699999999999999,-0.17623428571428623
CHEMBL342102,-3.4799999999999995,-2.9683750000000027
CHEMBL366111,-2.9799999999999995,-3.119587500000002
CHEMBL74954,-1.3500000000000005,-1.5840947619047696
CHEMBL1683445,-2.1099999999999994,-0.9660833333333332
CHEMBL295066,-1.6600000000000001,-1.6403562499999995
CHEMBL80453,-2.4800000000000004,-2.567125000000004
CHEMBL114831,-2.9700000000000006,-2.8368625000000107
CHEMBL19371,-0.6299999999999999,-1.081824999999996
CHEMBL71686,-2.6399999999999997,-1.3713937499999986
CHEMBL375319,-2.04,-1.4663579166666652
CHEMBL83368,-3.1500000000000004,-2.546732499999995
CHEMBL116237,-2.9700000000000006,-2.6863874999999973
CHEMBL189156,-1.62,-1.7014250000000002
CHEMBL2096852,-1.9299999999999997,-1.1386549999999953
CHEMBL115168,-2.24,-2.5705250000000017
CHEMBL370825,-1.25,-1.2775791666666647
CHEMBL466237,-3.0199999999999996,-2.7993737499999947
CHEMBL5172839,-2.26,-2.095422916666665
CHEMBL36309,-1.1000000000000005,-1.3842916666666645
CHEMBL78798,-3.29,-2.920337499999997
CHEMBL1801420,-3.5200000000000005,-3.775924999999998
CHEMBL1801416,-3.6000000000000005,-4.143962500000008
CHEMBL126711,-1.42,-1.8994808333333335
CHEMBL147494,-3.0999999999999996,-2.9164249999999994
CHEMBL100805,-1.6500000000000004,-2.055231249999994
CHEMBL357904,-2.0600000000000005,-2.029937500000007
CHEMBL5281827,-2.29,-1.457829166666669
CHEMBL18943,-1.5899999999999999,-1.3599145833333302
CHEMBL38851,-1.71,-2.0335916666666636
CHEMBL222854,-1.3399999999999999,-1.7570499999999942
CHEMBL512061,-3.250000000000001,-2.201195386904761
CHEMBL573715,-2.9300000000000006,-2.714062500000006
CHEMBL1801047,-3.6599999999999993,-3.6143249999999973
CHEMBL310342,-2.0500000000000007,-2.3733999999999993
CHEMBL325903,-2.8900000000000006,-2.557449999999999
CHEMBL94948,-1.3200000000000003,-1.7075041666666646
CHEMBL573714,-1.6900000000000004,-1.304951249999999
CHEMBL418442,-1.9900000000000002,-2.1119916666666616
CHEMBL59104,-2.3899999999999997,-2.861461666666666
CHEMBL211487,-2.24,-1.874283333333331
CHEMBL493178,-1.83,-1.949699999999997
CHEMBL1801419,-3.3600000000000003,-3.566224999999995
CHEMBL78709,-2.12,-2.1296750000000073
CHEMBL80401,-2.9700000000000006,-2.948024999999989
CHEMBL561625,-2.3999999999999995,-2.0148520833333325
CHEMBL58553,-2.1400000000000006,-2.3914770833333354
CHEMBL1287851,-0.2599999999999998,-0.8212483928571425
CHEMBL300375,-2.5300000000000002,-2.976032500000002
CHEMBL10469,-1.3899999999999997,-1.9219087500000054
CHEMBL337986,-1.2999999999999998,-1.337284999999997
CHEMBL60179,-2.74,-2.6265012499999965
CHEMBL208841,-1.96,-1.9687749999999944
CHEMBL10266,-1.8699999999999992,-2.3833374999999988
CHEMBL466249,-3.3000000000000007,-2.5967812499999945
CHEMBL61354,-2.51,-2.5304574999999967
CHEMBL282004,-0.9800000000000004,-2.1535541666666664
CHEMBL303286,-2.0700000000000003,-2.5095875000000034
CHEMBL172912,-2.4000000000000004,-1.6743374999999987
CHEMBL184065,-3.5199999999999996,-3.1125750000000005
CHEMBL418639,-2.5,-2.4632903571428617
CHEMBL584365,-2.5199999999999996,-2.1215791666666592
CHEMBL1683453,0.20999999999999996,-0.9912291666666682
CHEMBL1085257,-3.0500000000000007,-2.55245
CHEMBL3358155,-1.0700000000000003,-0.7094979166666677
CHEMBL5797936,-0.54,-0.5658916666666685
CHEMBL5963948,-0.6749999999999998,-0.9411031250000021
CHEMBL2326364,-1.4699999999999998,-1.779950000000004
CHEMBL181244,-2.55,-2.072789583333332
CHEMBL560837,-3.1100000000000003,-2.250158333333329
CHEMBL42938,-2.4300000000000006,-2.460429166666651
CHEMBL5860213,-0.75,-1.4387562499999984
CHEMBL27213,-0.9800000000000004,-0.6928762500000005
CHEMBL5274715,-0.8000000000000007,-1.1270625000000047
CHEMBL5980393,-1.17,-0.8437760416666688
CHEMBL2337691,-3.1499999999999995,-2.315489583333331
CHEMBL194377,-3.87,-3.8465475000000113
CHEMBL198262,-4.120000000000001,-3.9523641666666833
CHEMBL198039,-4.250000000000001,-3.9702641666666842
