id,measured_delta,predicted_delta
CHEMBL342210,0.28000000000000114,-0.9100458333333351
CHEMBL19843,0.10999999999999943,-0.3366625000000003
CHEMBL433816,1.1100000000000012,-0.3866270833333339
CHEMBL1092104,-0.5600000000000005,-1.1755375
CHEMBL16519,-1.549999999999999,-1.3553208333333329
CHEMBL471537,-1.5700000000000003,-2.2248500000000044
CHEMBL123967,-1.120000000000001,-1.4196750000000042
CHEMBL96637,-0.34999999999999964,-1.0615183035714273
CHEMBL16933,-0.13999999999999968,-0.09812630952380964
CHEMBL158823,-0.3800000000000008,-0.5245500000000015
CHEMBL3900422,-0.71,-1.7105500000000036
CHEMBL338007,-0.9700000000000006,-1.3472875
CHEMBL352068,-0.6299999999999999,-0.9149374999999995
CHEMBL20154,-1.2100000000000009,-1.2455824999999994
CHEMBL135886,0.019999999999999574,-0.19559583333333372
CHEMBL333586,-1.5600000000000005,-1.5065250000000021
CHEMBL115727,-0.9500000000000002,-1.2305999999999997
CHEMBL332134,-1.1000000000000005,-1.3322750000000008
CHEMBL310688,-1.700000000000001,-0.9619833333333314
CHEMBL5175662,0.0,0.024852500000000565
CHEMBL323371,-1.4900000000000002,-1.8739124999999959
CHEMBL336425,-0.41999999999999993,-0.23127916666666642
CHEMBL25788,1.5,1.5112124999999963
CHEMBL327621,-1.3499999999999996,-1.4404250000000014
CHEMBL4780030,-0.9299999999999997,-1.1166750000000016
CHEMBL125601,-0.39000000000000057,-1.147274999999998
CHEMBL80146,0.04999999999999982,-1.219540624999999
CHEMBL345244,-0.6299999999999999,-0.2809875000000007
CHEMBL123563,-1.3499999999999996,-1.5464241666666663
CHEMBL97962,-1.1400000000000006,-1.422175000000001
CHEMBL1090284,-0.8900000000000006,-1.0444250000000002
CHEMBL124558,-1.7000000000000002,-1.3795700000000004
CHEMBL316822,-1.4899999999999993,-2.042412500000006
CHEMBL38352,-1.509999999999999,-1.4890374999999962
CHEMBL210133,-0.5299999999999994,-0.987376249999999
CHEMBL350789,-1.0099999999999998,-0.7609874999999987
CHEMBL419995,-1.5699999999999994,-1.5490500000000031
CHEMBL286254,1.3600000000000003,1.5014249999999978
CHEMBL158571,0.009999999999999787,-0.2809875000000007
CHEMBL339903,-1.5500000000000007,-1.652312500000008
CHEMBL55931,-0.3099999999999996,-0.5961750000000007
CHEMBL75302,-1.1700000000000008,-2.5390749999999915
CHEMBL311932,-1.0450000000000008,-1.2251874999999994
CHEMBL127093,-1.42,-1.2910624999999971
CHEMBL68271,-1.1600000000000001,-1.342650000000002
CHEMBL337042,-0.29000000000000004,-0.06735000000000005
CHEMBL36191,-1.13,-1.2228999999999939
CHEMBL34418,-1.0900000000000007,-1.5964125000000007
CHEMBL76606,-0.6999999999999993,-0.6734625000000001
CHEMBL317508,-2.2800000000000002,-1.774224999999997
CHEMBL18614,-1.0199999999999996,-1.0240166666666668
CHEMBL429336,-1.759999999999999,-1.7596250000000009
CHEMBL123615,-1.8299999999999992,-1.4942750000000016
CHEMBL148214,-0.4299999999999997,-1.2107125000000003
CHEMBL71725,-0.71,-1.3334249999999994
CHEMBL329558,-1.5100000000000007,-1.633912499999999
CHEMBL16650,-1.0700000000000003,-1.3553208333333329
CHEMBL318922,-1.3000000000000007,-1.7046875000000008
CHEMBL57551,-0.2699999999999996,-0.7327541666666678
CHEMBL95486,-1.2999999999999998,-1.2902625000000045
CHEMBL412910,-1.6300000000000008,-1.425225000000002
CHEMBL290948,-1.9799999999999995,-1.5730124999999993
CHEMBL102415,-2.3500000000000005,-1.9401520833333339
CHEMBL38106,-1.6000000000000005,-1.4744500000000005
CHEMBL372908,-0.4500000000000002,-0.7389750000000013
CHEMBL456774,-0.9299999999999997,-1.1052216666666657
CHEMBL349800,-0.9499999999999993,-0.560291666666667
CHEMBL313168,-1.2400000000000002,-1.4534250000000009
CHEMBL76674,-1.3899999999999997,-1.5175126785714281
CHEMBL228188,-0.2999999999999998,-1.3194249999999996
CHEMBL80361,-1.5600000000000005,-0.9960406249999981
CHEMBL124026,-1.629999999999999,-1.2098500000000016
CHEMBL502674,-1.29,-0.8843541666666676
CHEMBL1089843,-2.000000000000001,-1.020462499999999
CHEMBL1169492,-0.05999999999999961,-0.3820499999999997
CHEMBL45357,-1.7300000000000004,-1.4248541666666719
CHEMBL307182,-1.1099999999999994,-0.8684312499999998
CHEMBL15964,-2.0300000000000002,-1.8796208333333302
CHEMBL489100,-0.040000000000000036,-0.3572874999999992
CHEMBL319902,-2.17,-1.8563270833333365
CHEMBL227824,-2.9000000000000004,-1.2994499999999962
CHEMBL269019,-2.1500000000000004,-1.6108875000000031
CHEMBL78909,-2.6900000000000004,-3.1855500000000037
CHEMBL100146,-1.4699999999999998,-1.5205749999999987
CHEMBL306635,-1.4500000000000002,-1.549011875000002
CHEMBL304730,-2.7300000000000004,-1.7988374999999979
CHEMBL234735,-0.9100000000000001,-1.3621874999999994
CHEMBL5269115,-2.7300000000000004,-1.7474999999999985
CHEMBL78255,-1.7800000000000002,-1.6489825000000005
CHEMBL5278204,-2.080000000000001,-1.9316625000000074
CHEMBL76878,-0.9100000000000001,-0.8732000000000003
CHEMBL404409,-1.54,-0.8667249999999985
CHEMBL33980,-2.1800000000000006,-1.7267625000000004
CHEMBL366111,-2.2399999999999993,-1.499165625000002
CHEMBL71309,-2.3200000000000003,-1.5536375000000013
CHEMBL311004,-2.170000000000001,-1.4824416666666653
CHEMBL3221864,0.04999999999999982,-0.512425000000001
CHEMBL19371,-0.1899999999999995,-0.9537499999999994
CHEMBL124681,-1.6999999999999993,-1.331041666666667
CHEMBL375319,-1.04,-1.0896633333333339
CHEMBL310684,-1.5499999999999998,-1.249274999999998
CHEMBL19278,-1.83,-1.1325625000000001
CHEMBL509270,-0.4399999999999995,-0.8270166666666688
CHEMBL71645,-1.1800000000000006,-1.6653482142857143
CHEMBL18649,-1.0,-1.1135374999999987
CHEMBL309492,-2.8400000000000007,-2.3923166666666633
CHEMBL1801421,-3.95,-3.5886999999999976
CHEMBL222714,-1.2000000000000002,-1.2355357142857142
CHEMBL83955,-1.46,-1.717854166666671
CHEMBL328751,-1.8499999999999996,-0.37549708333333376
CHEMBL5281827,-2.540000000000001,-1.6078999999999994
CHEMBL3350246,-0.5,-0.5684677083333353
CHEMBL67291,-2.6500000000000004,-2.165887499999995
CHEMBL85374,-2.25,-1.848091666666665
CHEMBL419648,-2.5300000000000002,-1.7855375000000016
CHEMBL2336362,-2.6499999999999995,-2.6533749999999987
CHEMBL402745,-1.6900000000000004,-2.263853273809528
CHEMBL1801396,-4.56,-3.7859854166666684
CHEMBL1801430,-4.42,-3.9553783333333348
CHEMBL418442,1.1899999999999995,0.35297499999999943
CHEMBL2336360,-0.33999999999999986,-0.4349249999999985
CHEMBL1165574,-2.7399999999999993,-2.628099999999997
CHEMBL2336788,-2.749999999999999,-2.8155000000000037
CHEMBL4215407,-0.33000000000000007,-0.8968374999999976
CHEMBL222309,-1.5700000000000003,-0.7881225000000002
CHEMBL466059,-2.66,-1.4693458333333342
CHEMBL2336349,-2.7300000000000004,-2.8267250000000024
CHEMBL3972836,0.21999999999999975,-0.4024854166666669
CHEMBL71436,-1.2999999999999998,-1.3776874999999984
CHEMBL380049,-0.9000000000000004,-0.713337500000001
CHEMBL1165152,-2.9000000000000004,-2.7808999999999964
CHEMBL4092752,-0.41999999999999993,-0.4785562499999999
CHEMBL312432,-2.9000000000000004,-1.4776374999999995
CHEMBL1795857,-1.88,-2.1107625000000056
CHEMBL2336346,-3.039999999999999,-2.997574999999998
CHEMBL1165241,-0.4399999999999995,-0.4788625000000005
CHEMBL79267,-1.5500000000000007,-1.6400708333333354
CHEMBL1939844,-0.8500000000000005,-0.8944738095238093
CHEMBL567893,0.0,-0.547564166666668
CHEMBL1093689,-1.0700000000000003,-1.949016666666664
CHEMBL1801054,-4.3,-3.6436541666666624
CHEMBL2336355,-2.8500000000000005,-2.788475
CHEMBL2336780,-2.9400000000000004,-2.72947500000001
CHEMBL2336782,-3.1900000000000004,-2.980700000000007
CHEMBL1165627,-2.9699999999999998,-2.6575999999999986
CHEMBL550038,-1.2400000000000002,-0.24908062499999978
CHEMBL1801431,-4.4799999999999995,-3.830916666666677
CHEMBL126380,-2.1550000000000002,-2.1518749999999933
CHEMBL33977,-0.05999999999999961,-0.6303125000000005
CHEMBL18895,-1.2999999999999998,-1.114662499999999
CHEMBL2048505,-0.9199999999999999,-0.49263541666666627
CHEMBL539683,0.8799999999999999,0.33973333333333255
CHEMBL322888,-2.24,-0.984408333333334
CHEMBL1085257,-0.9100000000000001,-1.4667895833333342
CHEMBL2048511,0.14000000000000057,-0.5398458333333331
CHEMBL3358155,-0.040000000000000036,-0.23665624999999968
CHEMBL2326364,-0.5,-0.7715750000000001
CHEMBL574605,-1.5499999999999998,-1.1362666666666688
CHEMBL356124,-0.5699999999999994,-1.1049124999999984
CHEMBL43063,-0.5,-1.0683500000000041
CHEMBL5931896,-0.2999999999999998,-0.38581666666666614
CHEMBL2048502,-0.13999999999999968,-0.7800124999999989
CHEMBL254239,0.4899999999999993,0.0222333333333333
CHEMBL94346,0.0,-1.1973833333333284
CHEMBL563026,-0.7999999999999998,-1.2154916666666649
CHEMBL254240,0.4900000000000002,0.08694999999999975
CHEMBL253374,-0.8799999999999999,0.27367499999999895
CHEMBL104446,-2.2600000000000007,-0.6979916666666681
CHEMBL2435340,0.0,-0.39428333333333376
CHEMBL5275186,0.0,-0.3768583333333334
CHEMBL573934,-1.4800000000000004,-1.021745833333335
CHEMBL94715,-1.5700000000000003,-0.765224999999999
CHEMBL97951,-1.4800000000000004,-1.1094949999999957
CHEMBL87223,0.5099999999999998,-0.4481624999999995
CHEMBL398838,0.2400000000000002,0.2552500000000002
CHEMBL291133,-0.5999999999999996,-1.0103083333333338
CHEMBL94348,-1.2199999999999998,-1.1958166666666619
CHEMBL75114,-5.19,-3.7159399999999976
CHEMBL306585,-4.3999999999999995,-3.613818750000006
CHEMBL254837,0.1299999999999999,0.22659999999999994
CHEMBL579068,-0.41000000000000014,-0.8040791666666665
CHEMBL254039,0.08999999999999986,0.27720000000000034
CHEMBL265769,-0.3799999999999999,-0.6985570833333342
CHEMBL561038,-2.7299999999999995,-1.5544874999999978
CHEMBL253801,0.020000000000000462,0.24764999999999893
CHEMBL339588,-4.35,-2.1518749999999933
CHEMBL126712,-4.32,-1.6145374999999986
CHEMBL252965,0.10000000000000053,0.11885000000000004
