id,measured,predicted
CHEMBL6174035,9.43,7.655551250000011
CHEMBL6172024,9.12,8.862349999999946
CHEMBL485514,9.1,7.720324999999998
CHEMBL1796689,9.05,8.445385000000012
CHEMBL4780309,8.96,8.143379166666662
CHEMBL5218693,8.96,8.979325000000012
CHEMBL4642518,8.85,7.684099523809523
CHEMBL5220233,8.85,8.434850000000004
CHEMBL4552057,8.8,8.330500000000002
CHEMBL5177696,8.8,6.725462499999996
CHEMBL3891420,8.7,6.970159285714294
CHEMBL4792257,8.7,7.7396375
CHEMBL5220616,8.7,8.599916666666655
CHEMBL5218767,8.7,8.259397499999976
CHEMBL5853881,8.7,7.39257500000001
CHEMBL2048750,8.64,6.34270000000001
CHEMBL5219006,8.64,8.605925000000006
CHEMBL5219039,8.64,7.972312777777777
CHEMBL6173091,8.64,8.79734999999994
CHEMBL3827517,8.55,7.610175000000024
CHEMBL5619281,8.54,5.70331979166667
CHEMBL3317816,8.51,8.48007499999997
CHEMBL5185297,8.51,7.162525000000008
CHEMBL5415232,8.51,6.500872083333341
CHEMBL5219969,8.48,8.196048125000008
CHEMBL3828518,8.41,7.724250000000027
CHEMBL216641,8.4,6.868658333333331
CHEMBL4646915,8.33,7.954517857142838
CHEMBL3622533,8.3,7.9557500000000285
CHEMBL4782066,8.3,8.161650000000035
CHEMBL5435505,8.3,6.598791666666674
CHEMBL5093798,8.29,6.635931250000003
CHEMBL4644118,8.28,7.7987327182539765
CHEMBL4641343,8.27,8.042310535714298
CHEMBL5219978,8.23,8.496699999999988
CHEMBL3317815,8.2,7.779964999999987
CHEMBL3633769,8.17,7.551283333333346
CHEMBL3655995,8.05,7.423099999999979
CHEMBL3935353,8.05,6.903911666666672
CHEMBL4873847,8.05,7.5684704166667
CHEMBL4646582,8.04,8.56688999999995
CHEMBL4632432,8.01,8.056896666666661
CHEMBL6165888,8.0,7.277250000000005
CHEMBL5434546,7.99,6.1060874999999974
CHEMBL5220815,7.96,7.846972499999987
CHEMBL4759472,7.93,7.765424583333349
CHEMBL1923808,7.9,6.492508333333355
CHEMBL4640415,7.89,7.330984999999981
CHEMBL5219118,7.89,8.423804999999973
CHEMBL5218651,7.85,8.732375000000006
CHEMBL3925939,7.82,6.537453750000022
CHEMBL4797893,7.81,7.801785416666665
CHEMBL4176214,7.78,7.0612291666666716
CHEMBL3656010,7.77,7.463949999999992
