rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,sel_vs_mmp2,sel_vs_mmp3,sel_vs_mmp9,sel_vs_mmp13,min_MMP1_selectivity,potent_and_MMP1_selective
23,CAND-13948,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NC1CCCCNCCCCCNC1=O,0.461451971427896,6.345509949011723,0.4850902785319555,0.2426651708308856,0.6,0.3296894405397277,1,1.0,-4.583974000000003,2,0.6153846153846154,False,6.51,7.37,6.56,6.25,7.26,-0.86,-0.05,0.26,-0.75,-0.86,False
40,CAND-03027,CCCCCCC(C(=O)NO)S(=O)(=O)c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.3096987737343778,6.344517784238747,0.484723481180794,0.3925513906192455,0.1999999999999999,0.0911234438132695,1,1.0,-4.014557600000002,4,0.5373134328358209,False,6.5,7.16,6.91,8.26,8.57,-0.66,-0.41,-1.76,-2.07,-2.07,False
21,CAND-13950,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NC1CCCNCCCCCCNC1=O,0.461451971427896,6.345509949011723,0.4850902785319555,0.2426651708308856,0.6,0.3296894405397277,1,1.0,-4.583974000000003,2,0.5909090909090909,False,6.49,7.37,6.55,6.25,7.26,-0.88,-0.06,0.24,-0.77,-0.88,False
19,CAND-13949,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NC1CCCCNCCCNC1=O,0.4632310333140207,6.345509949011723,0.4850902785319555,0.1418982566686781,0.6,0.33561964682681,1,1.0,-4.9667866000000025,2,0.5909090909090909,False,6.42,7.24,6.37,6.11,6.9,-0.82,0.05,0.31,-0.48,-0.82,False
29,CAND-14310,C[C@@H](C=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.4372688389428939,6.3486919823527455,0.4862666571261005,0.310617687696549,0.4,0.3804517012661454,1,1.0,-4.325823,3,0.5423728813559322,False,6.4,7.26,6.1,6.51,6.95,-0.86,0.3,-0.11,-0.55,-0.86,False
9,CAND-13957,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)N[C@H]1CCCCNC1=O,0.482749925201651,6.295261022817899,0.4665135526406415,0.2373706070901454,0.6,0.4316438296044343,1,1.0,-4.604088000000002,2,0.5901639344262295,False,6.4,7.33,6.22,5.97,6.74,-0.93,0.18,0.43,-0.34,-0.93,False
3,CAND-00013,N#Cc1ccccc1-c1ccc(S(=O)(=O)CCC(=O)NO)cc1,0.5350863181347026,6.235580635824928,0.4444500723987055,0.5621785100306895,0.6,0.6428709397844996,1,1.0,-3.3701457,2,0.5416666666666666,False,6.39,7.21,6.65,5.75,6.23,-0.82,-0.26,0.64,0.16,-0.82,False
43,CAND-03041,CCCCCC[C@@H](C(=O)NO)[S@@+]([O-])c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.263999853190189,6.344517784238747,0.484723481180794,0.4806439657266885,0.0,0.0721270419993067,1,1.0,-3.6798947000000015,5,0.5441176470588235,False,6.39,7.5,6.87,7.1,8.37,-1.11,-0.48,-0.71,-1.98,-1.98,False
44,CAND-03042,CCCCCC[C@H](C(=O)NO)[S@@+]([O-])c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.263999853190189,6.344517784238747,0.484723481180794,0.4806439657266885,0.0,0.0721270419993067,1,1.0,-3.6798947000000015,5,0.5441176470588235,False,6.39,7.5,6.87,7.1,8.37,-1.11,-0.48,-0.71,-1.98,-1.98,False
45,CAND-03043,CCCCCC[C@@H](C(=O)NO)[S@+]([O-])c1ccc(OC(=O)[C@@H](CC(=O)NO)Cc2ccccc2C#N)cc1,0.263999853190189,6.344517784238747,0.484723481180794,0.4806439657266885,0.0,0.0721270419993067,1,1.0,-3.6798947000000015,5,0.5441176470588235,False,6.39,7.5,6.87,7.1,8.37,-1.11,-0.48,-0.71,-1.98,-1.98,False
