rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit
24,CAND-13947,N#Cc1ccccc1C[C@H](CC(=O)NO)C(=O)NC1CCCCNCCCCCCNC1=O,0.4597100984084231,6.345509949011723,0.4850902785319555,0.2930486279119897,0.6,0.32388319714148445,1,1.0,-4.3925677000000025,2,0.6153846153846154,False
25,CAND-00047,CC(C)C[C@H](C(=O)NO)N(Cc1ccccc1C#N)[P@](C)(=O)c1ccccc1,0.4547879437244509,6.407691211643596,0.5080783174610354,0.7539137365684728,0.4,0.40249594997977745,1,1.0,-2.6417452999999997,3,0.6923076923076923,False
26,CAND-00046,CC(C)C[C@H](C(=O)NO)N(Cc1ccccc1C#N)[P@@](C)(=O)c1ccccc1,0.4547879437244509,6.407691211643596,0.5080783174610354,0.7539137365684728,0.4,0.40249594997977745,1,1.0,-2.6417452999999997,3,0.6923076923076923,False
27,CAND-00008,CCCC(CCS)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.4513768468541327,5.406714186419256,0.13802312962737628,1.0,0.8,0.7412176068014819,1,1.0,-1.7068657999999983,1,0.5306122448979592,False
28,CAND-00010,N#Cc1ccccc1-c1ccc(S(=O)(=O)C2CCCC(S)C2)cc1,0.439103070478084,5.186465464771956,0.056598501483640345,0.9569626777215319,0.8,0.8360127324542127,1,1.0,-1.8703641999999983,1,0.56,False
29,CAND-14310,C[C@@H](C=O)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1C#N,0.4372688389428939,6.3486919823527455,0.48626665712610057,0.310617687696549,0.4,0.3804517012661454,1,1.0,-4.325823,3,0.5423728813559322,False
30,CAND-00056,N#Cc1ccccc1NS(=O)(=O)N1CCc2c(nn3cc(F)ccc23)C1,0.42889503991716105,5.033369922512687,0.0,0.5272431285043843,1.0,0.7629834663905369,1,1.0,-3.5028649000000005,0,0.5277777777777778,False
31,CAND-00042,C[C@H](C(=O)NO)N(Cc1ccccc1C#N)P(=O)(c1ccccc1)c1ccccc1,0.4255973434233791,6.337266994397293,0.48204290777190867,0.6600482865055481,0.4,0.34858629845808253,1,1.0,-2.9983393000000005,3,0.6595744680851063,False
32,CAND-00039,N#Cc1ccccc1CCN(CC(=O)NO)P(=O)(c1ccccc1)c1ccccc1,0.4109714602565744,6.283836034862446,0.46228980328644964,0.5953837479478103,0.4,0.33275519537783177,1,1.0,-3.2439992999999996,3,0.6595744680851063,False
33,CAND-00005,C#CCC(CC#C)(C(=O)NO)S(=O)(=O)c1ccc(-c2ccccc2C#N)cc1,0.4096247303782767,6.093485938597377,0.39191851718051907,0.536390057254676,0.4,0.4455515726267238,1,1.0,-3.4681158000000005,3,0.5660377358490566,False
