rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit
1,CAND-01416,O=C1N[C@@H](CS)C(=O)N(Cc2cc(C(F)(F)F)c3ccccc3n2)[C@H]1CC1CCCCC1,0.8266389289560425,6.961534455460311,0.5887964298534749,1.0,0.8,-2.4517261000000006,1,0.6875,True
2,CAND-01417,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3c(C(F)(F)F)cccc3n2)[C@H]1CC1CCCCC1,0.8266389289560425,6.961534455460311,0.5887964298534749,1.0,0.8,-2.4517261,1,0.7258064516129032,True
3,CAND-01418,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3cc(C(F)(F)F)ccc3n2)[C@H]1CC1CCCCC1,0.8266389289560425,6.961534455460311,0.5887964298534749,1.0,0.8,-2.4517261,1,0.7258064516129032,True
4,CAND-01415,O=C1N[C@@H](CS)C(=O)N(Cc2nc3ccccc3cc2C(F)(F)F)[C@H]1CC1CCCCC1,0.8266389289560425,6.961534455460311,0.5887964298534749,1.0,0.8,-2.4517261000000006,1,0.671875,True
5,CAND-01419,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3ccc(C(F)(F)F)cc3n2)[C@H]1CC1CCCCC1,0.8266389289560425,6.961534455460311,0.5887964298534749,1.0,0.8,-2.4517261,1,0.7377049180327869,True
6,CAND-01395,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3ccc(Cl)cc3n2)[C@H]1CC1CCCCC1,0.8253154758740675,7.009604849173288,0.5987320666006629,0.9904352353197082,0.8,-2.5064929000000005,1,0.7758620689655172,True
7,CAND-01392,O=C1N[C@@H](CS)C(=O)N(Cc2cc(Cl)c3ccccc3n2)[C@H]1CC1CCCCC1,0.8253154758740675,7.009604849173288,0.5987320666006629,0.9904352353197082,0.8,-2.5064929000000005,1,0.7213114754098361,True
8,CAND-01394,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3cc(Cl)ccc3n2)[C@H]1CC1CCCCC1,0.8253154758740675,7.009604849173288,0.5987320666006629,0.9904352353197082,0.8,-2.5064929000000005,1,0.7627118644067796,True
9,CAND-01391,O=C1N[C@@H](CS)C(=O)N(Cc2nc3ccccc3cc2Cl)[C@H]1CC1CCCCC1,0.8253154758740675,7.009604849173288,0.5987320666006629,0.9904352353197081,0.8,-2.506492900000001,1,0.7049180327868853,True
10,CAND-01393,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3c(Cl)cccc3n2)[C@H]1CC1CCCCC1,0.8253154758740675,7.009604849173288,0.5987320666006629,0.9904352353197082,0.8,-2.5064929000000005,1,0.7627118644067796,True
11,CAND-01420,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3cccc(C(F)(F)F)c3n2)[C@H]1CC1CCCCC1,0.8220722683855615,6.887886710760346,0.5735742279518717,1.0,0.8,-2.4517261000000006,1,0.7096774193548387,True
12,CAND-01396,O=C1N[C@@H](CS)C(=O)N(Cc2ccc3cccc(Cl)c3n2)[C@H]1CC1CCCCC1,0.8207488153035867,6.935957104473323,0.5835098646990597,0.9904352353197081,0.8,-2.506492900000001,1,0.7457627118644068,True
13,CAND-01441,Cc1c2c(cc3ccccc13)C(=O)N(CC[C@@H](N[C@@H](CC(C)C)C(=O)NC1CCCc3ccccc31)C(=O)O)C2=O,0.8197759121702746,7.155168555969182,0.628818529443753,0.9580674518603305,0.8,-2.6918273000000004,1,0.8194444444444444,True
14,CAND-01401,Cc1ccc2ccc(CN3C(=O)[C@H](CS)NC(=O)[C@@H]3CC3CCCCC3)nc2c1,0.8197448011049642,7.072348098692051,0.6117004258630986,0.9694103852134102,0.8,-2.626878900000001,1,0.7758620689655172,True
15,CAND-01400,Cc1ccc2nc(CN3C(=O)[C@H](CS)NC(=O)[C@@H]3CC3CCCCC3)ccc2c1,0.8197448011049642,7.072348098692051,0.6117004258630986,0.9694103852134102,0.8,-2.626878900000001,1,0.7627118644067796,True
