rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit
5160,CAND-05596,NC(=O)CC[C@H](NC(=O)[C@@H]1CCCN1C(=O)CF)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NO,0.4484927766130581,6.41443772879723,0.47571738219357296,0.34617235989996936,0.6,-6.195471899999999,2,0.8571428571428571,True
5161,CAND-03299,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)CN3CCN(C)CC3)CC2C(=O)NO)c(OC)c1,0.44832184367803685,5.888958235106937,0.36710638560850484,0.41819983998996746,0.6,-5.7830504000000005,2,0.7857142857142857,False
5162,CAND-05292,COc1ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1C(F)(F)F,0.4483152937143309,6.182232343807416,0.42772301023616355,0.3777742014299595,0.6,-6.014523200000003,2,0.6935483870967742,True
5163,CAND-05293,COc1ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)c(C(F)(F)F)c1,0.4479759771712071,6.176760096033629,0.4265919550924175,0.37777420142995966,0.6,-6.014523200000002,2,0.7258064516129032,True
5164,CAND-02943,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CN)CC2C(=O)NO)cc1F,0.44733756196054864,6.091100224700593,0.4088869749656134,0.3881588210463659,0.6,-5.955061999999998,2,0.7213114754098361,True
5165,CAND-03304,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(C(=O)CN3CCN(C)CC3)CC2C(=O)NO)cc1O,0.44716744257674224,6.034558185506081,0.3972003396171228,0.39557186820356754,0.6,-5.912615700000002,2,0.7971014492753623,True
5166,CAND-03366,CCCCOc1ccc(S(=O)(=O)N2C[C@@H](N3C(=O)NC(C)(C)C3=O)C[C@@H]2C(=O)NO)cc1C,0.44707927663226055,6.277851652690825,0.4474864996878059,0.5840740593909307,0.19999999999999996,-4.833272700000001,4,0.7941176470588235,True
5167,CAND-05295,COc1ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc2ccc(S(N)(=O)=O)c(C(F)(F)F)c2)cc1,0.4468367017730296,6.1583866999002925,0.4227943704318255,0.3777742014299598,0.6,-6.014523200000001,2,0.7258064516129032,True
5168,CAND-02944,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CN)CC2C(=O)NO)c(F)c1,0.44670094963173823,6.080833409039244,0.40676493386957874,0.3881588210463659,0.6,-5.955061999999998,2,0.7333333333333333,True
5169,CAND-05294,COc1ccc(S(=O)(=O)N(CC(=O)NO)CC(=O)NCCc2ccc(S(N)(=O)=O)cc2C(F)(F)F)cc1,0.44595050351511056,6.144094745846459,0.41984037623876247,0.37777420142995966,0.6,-6.014523200000002,2,0.7049180327868853,True
5170,CAND-02261,CCOCCC1(Oc2ccc(Oc3ccc(-c4nnco4)cc3)cc2O)C(=O)NC(=O)C(N)C1=O,0.4459318920575759,5.280993057857748,0.24144647959327648,0.6077732181768732,0.4,-4.697573900000002,3,0.8059701492537313,False
