molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL4091233,O=C(CCCCCCC(=O)Nc1ccc(CCCn2cc(-c3ncnc4[nH]ccc34)cn2)cc1)NO,9.05,1
CHEMBL4277484,CCCN1CC(=O)N2Cc3c(c4cc(O)ccc4n3Cc3ccc(C(=O)NO)cc3)CC2C1=O,9.05,1
CHEMBL4759584,CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccc(CN)cc1,9.05,1
CHEMBL4857825,O=C(NO)c1ccc(CN2C(=O)CCc3cc(Br)ccc32)cc1,9.05,1
CHEMBL5193507,O=C(NO)c1ccc(CN(C2CC2)S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,9.05,1
CHEMBL4278715,COc1cc(-c2nc(NCc3ccc(C(=O)NO)cc3)cc3c2[nH]c2ccccc23)cc(OC)c1OC,9.03,1
CHEMBL6011678,O=C(NO)c1ccc(Cn2sc3ncccc3c2=O)cc1,9.02,1
CHEMBL2018442,C=CCN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,9.01,1
CHEMBL2048746,O=C(/C=C/c1ccc2c(ccn2S(=O)(=O)c2ccccc2)c1)NO,9.0,1
CHEMBL3356527,O=C1NCCC[C@H]1C(=O)N[C@@H](CCCCCS)C(=O)Nc1ccccc1,9.0,1
CHEMBL3356915,O=C1NCCC[C@@H]1C(=O)N[C@@H](CCCCCS)C(=O)Nc1ccccc1,9.0,1
CHEMBL3356916,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@@H]2CCCC(=O)N2)c1,9.0,1
CHEMBL3356918,O=C1CC[C@@H](C(=O)N[C@@H](CCCCCS)C(=O)Nc2ccccc2)N1,9.0,1
CHEMBL3356922,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@@H]2CCC(=O)N2)c1,9.0,1
CHEMBL3356924,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@H]2CCC(=O)N2C)c1,9.0,1
CHEMBL3655993,O=C(NO)c1cnc(NC2(c3c(F)cccc3F)CC2)nc1,9.0,2
CHEMBL3655967,O=C(NO)c1cnc(NC2(c3ccccc3Cl)CC2)nc1,9.0,2
CHEMBL3655917,O=C(NO)c1cnc(NCc2cccc(Cl)c2)nc1,9.0,2
CHEMBL4095596,CC(CCCCCC(=O)NO)n1cc(-c2ncnc3[nH]ccc23)cn1,9.0,1
CHEMBL4225914,O=C(NO)c1ccc(CNC(=O)c2cc(-c3ccc(F)cc3)[nH]n2)cc1,9.0,1
CHEMBL4574641,Nc1ccc(-c2nnn(Cc3ccc(C(=O)NO)cc3)n2)cc1,9.0,1
CHEMBL4852905,O=C(NO)c1cc(F)c2c(c1)CCN(C1CCC1)C2,9.0,1
CHEMBL4854340,Cn1c2c(c3ccccc31)CCN(Cc1ccc(C(=O)NO)cc1F)C2,9.0,1
CHEMBL4862465,O=C(NO)c1ccc(CN2CC3(CCOC3)C2)c(F)c1,9.0,1
CHEMBL4856445,CN1Cc2cc(C(=O)NO)ccc2CN1Cc1ccccc1,9.0,1
CHEMBL4847638,O=C(NO)c1cc(F)c2c(c1)CCn1cccc1-2,9.0,1
CHEMBL4846606,CN1CC2(CCCCC2)CC[C@H]1Cc1cc(F)cc(C(=O)NO)c1,9.0,1
CHEMBL5209294,C#Cc1nc(C(=O)NCCCCCCC(=O)NO)cs1,9.0,1
CHEMBL5425437,CNC(=O)c1csc(-c2nnn(Cc3ccc(-c4nnc(C(F)F)o4)cc3)n2)c1,9.0,1
CHEMBL5632704,Nc1ncc2ncn(Cc3ccc(C(=O)NO)cc3F)c2n1,9.0,1
CHEMBL5661880,CN1CCc2c(n(Cc3ccc(C(=O)NO)cc3)c3ccccc23)C1.O=C(O)C(F)(F)F,9.0,1
CHEMBL5980923,Cn1c(Nc2cccc(OCc3ccccc3)c2)nc2cc(C(=O)NO)ccc21,9.0,1
CHEMBL2018300,CN1CCc2c(c3cc(Cl)ccc3n2Cc2ccc(C(=O)NO)cc2)C1,8.99,1
CHEMBL4288953,Cc1ccc(-c2nc(NCc3ccc(C(=O)NO)cc3)cc3c2[nH]c2ccccc23)cc1,8.96,2
CHEMBL5274330,O=C(CCCCCC(=O)N(Cc1ccc(Br)s1)c1ccc(OCCN2CCOCC2)cc1)NO,8.94,1
CHEMBL4286867,O=C(CCCCCCC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)NO,8.92,1
CHEMBL5853881,COc1ccc2c(c1)C(=O)N(CCCCCC(=O)NO)c1ccccc1S2(=O)=O,8.92,1
CHEMBL185013,O=C(CCCCCC(=O)Nc1ccccc1)NO,8.92,3
CHEMBL4292609,CCCN1CC(=O)N2Cc3c(c4cc(OCc5ccccc5)ccc4n3Cc3ccc(C(=O)NO)cc3)CC2C1=O,8.9,1
CHEMBL4441675,Cc1c(CN(C)C)c2ccccc2n1-c1ccc(C(=O)NO)cc1,8.9,1
CHEMBL5429654,FC(F)c1nnc(-c2ccc(Cn3nnc(-c4cccnc4)n3)nc2)o1,8.9,1
CHEMBL519491,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(-c3ccccc3)nn2)cc1)NO,8.89,1
CHEMBL4290748,CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(OCCCCCC(=O)NO)cc3)n2)cc1.Cl,8.89,1
CHEMBL4874875,N#Cc1ccc2c(c1)CCCN2Cc1ccc(C(=O)NO)cc1,8.89,1
CHEMBL6145298,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)NCCCCCCC(=O)NO,8.88,1
CHEMBL2018451,CN1CCc2c(n(Cc3ccc(C(=O)NO)cc3)c3ccccc23)C1,8.85,4
CHEMBL3655944,C[C@@H](Nc1ncc(C(=O)NO)cn1)c1ccccc1,8.85,4
CHEMBL4060201,O=C(CCCCCCn1cc(-c2ncnc3[nH]ccc23)cn1)NO,8.85,1
CHEMBL2018443,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CN(Cc2ccccc2)CC3)cc1,8.84,1
CHEMBL3960564,Cc1c(CN)c2ccccc2n1Cc1ccc(C(=O)NO)cc1,8.84,1
CHEMBL4278951,O=C(CCCCCCC(=O)Nc1ccc(-c2ccnc(Nc3ccccc3)n2)cc1)NO,8.84,1
CHEMBL4562547,Cc1c(CN)c2ccccc2n1-c1ccc(C(=O)NO)cc1,8.84,1
CHEMBL4750701,O=C(NO)c1ccc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,8.84,1
CHEMBL4563224,O=C(NO)c1ccc(N(Cc2ccccc2)C(=O)CN(Cc2c(F)c(F)c(F)c(F)c2F)S(=O)(=O)c2ccc(F)cc2)cc1,8.83,1
CHEMBL6161175,O=C(NO)c1ccc(Cn2c(=O)ccc3cc(Cl)cnc32)c(F)c1,8.83,1
CHEMBL3916257,COc1ccc(NC(=O)N2CCC(Nc3ncc(C(=O)NO)cn3)(c3ccccc3)CC2)cc1,8.82,1
CHEMBL566099,O=C(NO)c1ccc2[nH]c(=O)c(CCCc3ccccc3)nc2c1,8.81,1
CHEMBL5189457,O=C(CCCCCCn1cc(C(=O)NCc2ccc(Cl)cc2)c2ccccc21)NO,8.81,1
CHEMBL4087897,COc1ccc(-c2cc(-c3ccoc3)c(C(=O)NCc3ccc(C(=O)NO)cc3)[nH]2)cc1,8.8,3
CHEMBL3929319,CC(=O)N1CCC(Nc2ncc(C(=O)NO)cn2)(c2ccccc2)CC1,8.8,1
CHEMBL4243458,CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,8.8,1
CHEMBL4063658,CN(C)c1ccc(C(=O)N(CC(=O)NC2CCCCC2)Cc2ccc(C(=O)NO)cc2)cc1,8.8,1
CHEMBL4757957,Cc1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,8.8,1
CHEMBL5288006,[11CH3]n1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,8.8,1
CHEMBL5403206,O=C(NO)c1ccc(Cn2c(=O)[nH]c(=O)c3ccc(F)cc32)cc1,8.8,1
CHEMBL5421243,FC(F)c1nnc(-c2ccc(Cn3nnc(-c4cccc(Cl)c4)n3)nc2)o1,8.8,1
CHEMBL343557,Cn1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,8.8,1
CHEMBL3621296,O=C(CCCCC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2)NO,8.79,1
CHEMBL4087616,CN1C(=O)C2CN(Cc3c2c2ccccc2n3Cc2ccc(C(=O)NO)cc2)C1=O,8.78,2
CHEMBL4285431,CCCN1CC(=O)N2Cc3c(c4cc(OC)ccc4n3Cc3ccc(C(=O)NO)cc3)CC2C1=O,8.78,1
CHEMBL1091815,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(F)cc(F)c3)nn2)c1)NO,8.77,1
CHEMBL3655950,O=C(NO)c1cnc(NC2(c3ccccc3)CC2)nc1,8.77,13
CHEMBL3977741,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(C(=O)Nc3ccccc3F)CC2)nc1,8.77,1
CHEMBL3951862,CNC(=O)N1CCC(Nc2ncc(C(=O)NO)cn2)(c2ccccc2)CC1,8.77,1
CHEMBL5206239,O=C(CCCCCCn1cc(C(=O)NC2C3CC4CC(C3)CC2C4)c2ccccc21)NO,8.77,1
CHEMBL2375871,O=C(/C=C/c1ccc(CNCC23CC4CC(CC(C4)C2)C3)cc1)NO,8.77,1
CHEMBL4460552,C[C@H](NC(=O)c1nc(-c2ncc(-c3ccccc3)s2)sc1C1CC1)c1ccc(C(=O)NO)cc1,8.75,2
CHEMBL5890164,Cc1nsc(N(CCCCCCC(=O)NO)c2ccccn2)n1,8.75,1
CHEMBL3621293,O=C(CCCCCCNC(=O)Cn1cnc2c(Nc3ccccc3)nc(Nc3ccccc3)nc21)NO,8.74,1
CHEMBL4069283,O=C(CCCCCCCn1cc(-c2ncnc3[nH]ccc23)cn1)NO,8.74,1
CHEMBL4285608,COc1cccc(-c2nc(NCc3ccc(C(=O)NO)cc3)cc3c2[nH]c2ccccc23)c1,8.74,1
CHEMBL4294153,CC(=O)Nc1ccc(-c2ccnc(Nc3cccc(OCCCCCCC(=O)NO)c3)n2)cc1,8.74,1
CHEMBL4294514,CCCN1CC(=O)N2[C@H](Cc3c(n(Cc4ccc(C(=O)NO)cc4)c4ccccc34)[C@@H]2C)C1=O,8.74,1
CHEMBL4532398,C[C@@H]1CN(C(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(CCCCCCC(=O)NO)c4n3)cc2)CCO1,8.74,1
CHEMBL4858994,O=C(NO)c1ccc(CN2CCCSc3ccccc32)cc1,8.74,2
CHEMBL5185898,O=C(CCCCCCn1cc(C(=O)NC2CCCCCCC2)c2ccccc21)NO,8.74,1
CHEMBL5401750,O=C(NO)c1ccc(CN2CCCc3cccnc32)c(F)c1,8.74,1
CHEMBL6166038,O=C(NO)c1ccc(CN2C(=O)CCc3cc(Br)cnc32)c(F)c1,8.73,1
CHEMBL483893,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(CC(O)c3cccc(Br)c3)nn2)c1)NO,8.72,1
CHEMBL483494,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(Cc3ccc(F)cc3)nn2)cc1)NO,8.72,2
CHEMBL1088736,O=C(CCCCCCC(=O)Nc1cccc(-c2cn(-c3cc(CO)cc(CO)c3)nn2)c1)NO,8.72,1
CHEMBL2414098,O=C(CCCCCCc1nc2ccc(Br)cc2[nH]1)NO,8.72,1
CHEMBL3339030,O=C(CCCCCCC(=O)Nc1cc2c(Nc3ccc(O[C@H]4CCOC4)c(Cl)c3)ncnc2s1)NO,8.72,1
CHEMBL3963102,O=C(NO)c1cnc(NC2(c3ccccc3)CCN(C(=O)Nc3ccccc3)CC2)nc1,8.72,1
CHEMBL4577299,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CS(=O)(=O)CC3)cc1,8.72,3
CHEMBL5208269,O=C(CCCCCCn1cc(C(=O)NC23CC4CC(CC(C4)C2)C3)c2ccccc21)NO,8.72,1
CHEMBL6144295,Cc1cc(C(=O)Nc2cccc(F)c2)nn1Cc1ccc(C(=O)NO)cc1,8.72,1
CHEMBL6161596,O=C(NO)c1ccc(CN2C(=O)COc3cccnc32)c(F)c1,8.72,1
CHEMBL1631913,COc1cc2cc(c1)COc1ccccc1NC(=O)C(CCCCCC(=O)NO)OC/C=C\2,8.71,1
