molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL3086767,CCOC(=O)NCCCC(=O)NCCc1ccccc1,9.92,3
CHEMBL4080164,Cc1[nH]c2ccccc2c1CCNCc1cccc(/C=C/C(=O)NO)c1.Cl,9.74,1
CHEMBL6145619,O=C(CCCCCCC(=O)N[C@@H]1C[C@H]1c1ccccc1)NO,9.62,1
CHEMBL4861467,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC1CC1)CC2)c1ncc(-c2cc3cccnc3cc2OC)[nH]1,9.52,1
CHEMBL4878197,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CC23CCN(CCCCCCCCn2ccc4cc(c(OC)cc4c2=O)-c2cnc1[nH]2)CC3,9.51,1
CHEMBL6169315,O=C(/C=C/c1ccc(S(=O)(=O)N[C@@H]2C[C@H]2c2ccccc2)cc1)NO,9.46,1
CHEMBL6174035,O=C(/C=C/c1cccc(S(=O)(=O)N[C@@H]2C[C@H]2c2ccccc2)c1)NO,9.43,1
CHEMBL6133082,O=C(CCCCCCCC(=O)N[C@@H]1C[C@H]1c1ccccc1)NO,9.43,1
CHEMBL5618867,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(/C=C/C(=O)NO)cc2)ccc1O,9.42,1
CHEMBL5220926,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3ccc(C)nc3cc2OC)[nH]1,9.4,1
CHEMBL4860000,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CC23CCN(CCCCCCCCn2ccc4cc(ccc4c2=O)-c2cnc1[nH]2)CC3,9.37,1
CHEMBL4641682,CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ccon2)c2ncc(-c3ccccc3F)[nH]2)C1,9.33,1
CHEMBL3329621,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSSCC/C=C/[C@@H]2CC(=O)NCc3nc(cs3)C3=N[C@@](C)(CS3)C(=O)N[C@@H](C(C)C)C(=O)O2)OC1=O,9.3,1
CHEMBL4065026,Cn1ccc2c(CCNS(=O)(=O)c3ccc(/C=C/C(=O)NO)cc3)cccc21,9.28,1
CHEMBL5218854,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C(C)C)CC2)c1ncc(-c2cc3ccc(C)nc3cc2OC)[nH]1,9.23,1
CHEMBL5218537,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccc(C4CC4)nc3cc2OC)[nH]1,9.22,1
CHEMBL4532398,C[C@@H]1CN(C(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(CCCCCCC(=O)NO)c4n3)cc2)CCO1,9.21,1
CHEMBL4649205,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC1CC1)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,9.16,1
CHEMBL4862152,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC1CC1)CC2)c1ncc(-c2cc3ccc(C)nc3cc2OC)o1,9.15,1
CHEMBL5220969,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3ccc(=O)n(C)c3cc2OC)[nH]1,9.15,1
CHEMBL5219115,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccc(C)nc3cc2C)[nH]1,9.15,1
CHEMBL4637689,Cc1cc(C(=O)CCCCC[C@H](NC(=O)C2CN(C)C2)c2ncc(-c3ccccc3F)[nH]2)no1,9.12,1
CHEMBL6172024,O=C(CCCCCCCCC(=O)N[C@@H]1C[C@H]1c1ccccc1)NO,9.12,1
CHEMBL485514,O=C(C=C1c2ccccc2-c2ccccc21)NCCCCCC(=O)NO,9.1,1
CHEMBL4634501,CN1CC(C(=O)N[C@@H](CCCCCC(=O)c2ccon2)c2ncc(-c3ccccc3F)o2)C1,9.09,1
CHEMBL4854377,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CC23CCN(C/C=C/CN2C4CCC2c2cc(ccc24)-c2cnc1[nH]2)CC3,9.07,1
CHEMBL1796689,CC(C)[C@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,9.05,2
CHEMBL3329622,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSSC[C@H](NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)OC1=O,9.05,1
CHEMBL4069853,O=C(/C=C/c1ccc(S(=O)(=O)NCCc2cccc3[nH]ccc23)cc1)NO,9.05,1
CHEMBL5618885,CNc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,9.05,1
CHEMBL3759921,O=C(CCCCCCC(=O)N/N=C/c1ccc(-c2ccccc2)cc1)NO,9.0,1
CHEMBL6161573,Cc1c(N)cccc1-c1cn(CCCCCCC(=O)NO)c2ccc(C#N)cc12,9.0,1
CHEMBL3317811,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](Cc1ccc(O)cc1)NC2=O,8.96,1
CHEMBL3317818,CC(C)(C)OC(=O)n1cnc(C[C@@H]2NC(=O)[C@]3(C)CSC(=N3)c3csc(n3)CNC(=O)C[C@@H](/C=C/CCS)OC2=O)c1,8.96,1
CHEMBL3621294,O=C(CCCCCCC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2)NO,8.96,1
CHEMBL2105763,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,8.96,12
CHEMBL4780309,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3[nH]c4ccccc4c3c2)[nH]1,8.96,1
CHEMBL3039527,Cl.Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,8.96,1
CHEMBL5218918,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3nc(C4CC4)ccc3c2)[nH]1,8.96,1
CHEMBL5218693,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3ccc(C)nc3cc2OC)o1,8.96,1
CHEMBL5192364,COc1cc(-c2nc(-c3nnc(CCCCC(=O)NO)o3)cc3c2[nH]c2ccccc23)cc(OC)c1OC,8.92,1
CHEMBL5288006,[11CH3]n1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,8.92,1
CHEMBL343557,Cn1cc(CCNCc2ccc(/C=C/C(=O)NO)cc2)c2ccccc21,8.92,1
CHEMBL5220278,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccc(C)nc3cc2OC)o1,8.89,1
CHEMBL146250,C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,8.85,3
CHEMBL3317812,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](Cc1c[nH]cn1)NC2=O,8.85,1
CHEMBL3317817,CC(C)(C)OC(=O)NCCC[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC1=O,8.85,1
CHEMBL4642518,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,8.85,1
CHEMBL4644038,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C(C)C)CC2)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,8.85,1
CHEMBL4780974,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(C2=CCC(C)N=C2OC)[nH]1,8.85,1
CHEMBL5218586,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3cccnc3cc2OC)[nH]1,8.85,1
CHEMBL5220233,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccc(C)nc3cc2F)[nH]1,8.85,1
CHEMBL5199007,O=C(CCCCCCC(=O)Nc1nc2c(s1)C[C@@H](NC(=O)c1cccc3ccccc13)CC2)NO,8.85,1
CHEMBL4759693,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc3nc(C)ccc3c2)nc1C#N,8.82,1
CHEMBL4552057,Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CCCCCCC(=O)NO)c3n2)cc1,8.8,1
CHEMBL4856631,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3c(=O)n(C)ccc3c2)[nH]1,8.8,2
CHEMBL5177696,COc1cc(OC)cc(N(CCNC(C)C)c2ccc3ncc(-c4cnn(CCCCCCC(=O)NO)c4)nc3c2)c1,8.8,1
CHEMBL3317810,C[C@@]12CSC(=N1)c1csc(n1)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](Cc1ccccc1)NC2=O,8.77,1
