molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL1683454,Cc1cc(F)ccc1CCC1CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c2ncc(F)cn2)N(O)C=O)CC1,9.74,2
CHEMBL1683460,Cc1nsc(C)c1CCC1CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c2ncc(F)cn2)N(O)C=O)CC1,9.59,1
CHEMBL1683450,Cc1cc(Cl)ccc1CCC1CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c2ncc(F)cn2)N(O)C=O)CC1,9.44,2
CHEMBL1683458,Cc1cc(CCC2CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c3ncc(F)cn3)N(O)C=O)CC2)c(C)cn1,9.37,2
CHEMBL1683449,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ccc(C(F)(F)F)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,9.32,2
CHEMBL1683451,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ccc(F)cc2Br)CC1)N(O)C=O)c1ncc(F)cn1,9.32,2
CHEMBL1683457,Cc1ccc(C)c(CCC2CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c3ncc(F)cn3)N(O)C=O)CC2)c1,9.32,2
CHEMBL1683455,Cc1cc(C(F)(F)F)ccc1CCC1CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c2ncc(F)cn2)N(O)C=O)CC1,9.31,2
CHEMBL1683453,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ccc(F)cc2C(F)(F)F)CC1)N(O)C=O)c1ncc(F)cn1,9.28,2
CHEMBL1683464,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ccc(S(C)(=O)=O)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,9.24,2
CHEMBL1683461,Cc1cc(C)c(CCC2CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c3ncc(F)cn3)N(O)C=O)CC2)cn1,9.17,2
CHEMBL1615187,Cc1noc(C)c1CCC1CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c2ncc(F)cn2)N(O)C=O)CC1,9.16,3
CHEMBL1683456,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ccc(C(F)(F)F)cc2C2CC2)CC1)N(O)C=O)c1ncc(F)cn1,9.03,2
CHEMBL1683444,C[C@@H](C[C@@H](CS(=O)(=O)N1CCC(OCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,9.0,2
CHEMBL187092,C[C@@]1(O)CCCN(S(=O)(=O)c2ccc(OCc3ccc(F)cc3Cl)cc2)[C@H]1C(=O)NO,9.0,3
CHEMBL1683447,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,8.96,2
CHEMBL179552,CC1(C)C[C@@H](O)CN(S(=O)(=O)c2ccc(OCc3ccc(Cl)cc3Cl)cc2)[C@H]1C(=O)NO,8.96,1
CHEMBL1784371,Cc1cc(C(F)(F)F)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(=O)C3CCC3)CC2)CC1,8.92,2
CHEMBL1784369,Cc1cc(Cl)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(=O)C3CCC3)CC2)CC1,8.92,2
CHEMBL1683443,C[C@@H](C[C@@H](CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1)N(O)C=O)c1ncc(F)cn1,8.85,1
CHEMBL1784359,CS(=O)(=O)c1ccc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C2CC2)c1,8.85,2
CHEMBL4066965,C[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,8.85,2
CHEMBL5875518,CC1CC(F)(F)CC(O)(CNC(=O)c2cn(CC(F)(F)F)c3cccc(Cl)c23)C1,8.85,1
CHEMBL1683459,Cc1cnc(C)c(CCC2CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c3ncc(F)cn3)N(O)C=O)CC2)c1,8.72,2
CHEMBL1784336,Cc1cc(F)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(=O)C3CCC3)CC2)CC1,8.72,2
CHEMBL4072836,CC[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,8.7,2
CHEMBL3980860,O=C1NC(=O)[C@](CNC(=O)[C@@H](Cc2ccc(C(F)(F)F)cc2)C2CC2)(C2CC2)N1,8.7,3
CHEMBL1683463,Cc1cc(C(F)(F)F)cnc1CCC1CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c2ncc(F)cn2)N(O)C=O)CC1,8.68,2
CHEMBL1784358,Cc1cc(Cl)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,8.57,2
CHEMBL1683452,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2cc(F)ccc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,8.55,2
CHEMBL24398,O=C(NO)[C@@H](NCC1CC1)[C@@H](Cc1cccc(O)c1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,8.52,3
CHEMBL1615186,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(OCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,8.46,3
CHEMBL1683446,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCN(CCc2ccc(Cl)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,8.42,2
CHEMBL3358156,Cn1ccnc1[C@]1(CNC(=O)c2cc3cc(Cl)ccc3o2)NC(=O)NC1=O,8.41,2
CHEMBL1078281,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)c1ccc(-n2cc(Cl)cn2)s1)C(=O)O,8.4,1
CHEMBL3358158,Cn1ccnc1[C@]1(CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)NC(=O)NC1=O,8.4,2
CHEMBL4102193,O=C(CCc1ccc(C(F)(F)F)cc1)NC[C@@]1(C2CC2)NC(=O)NC1=O,8.4,1
CHEMBL4450729,CCn1ccnc1[C@]1(CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)NC(=O)NC1=O,8.4,1
CHEMBL4436740,Cc1cnc([C@]2(CNC(=O)c3cc4cc(C(F)(F)F)ccc4o3)NC(=O)NC2=O)n1C,8.4,1
CHEMBL1784337,Cc1ccccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(=O)C3CCC3)CC2)CC1,8.39,2
CHEMBL1683462,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCC(CCc2ncc(C(F)(F)F)cc2Cl)CC1)N(O)C=O)c1ncc(F)cn1,8.38,2
CHEMBL1784339,Cc1cc(F)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,8.35,2
CHEMBL1683465,Cc1cc(CCC2CCN(S(=O)(=O)C[C@](C)(C[C@H](C)c3ncc(F)cn3)N(O)C=O)CC2)n(C)n1,8.27,2
CHEMBL1784363,Cc1ccccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,8.25,2
CHEMBL1784360,Cc1cc(S(C)(=O)=O)ccc1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,8.24,2
CHEMBL3622491,CCN(C(=O)c1ccc(CNc2nc(NCCN3CCN(C)CC3)nc(N3CCc4ccccc4C3)n2)cc1)c1cccc(C)c1,8.22,1
CHEMBL4587825,Cc1cnc([C@]2(CNC(=O)c3cc4cc(Cl)ccc4o3)NC(=O)NC2=O)n1C,8.22,1
CHEMBL4097165,O=C1NC(=O)[C@](CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)(C2CC2)N1,8.22,1
CHEMBL3972836,CC(C)(Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,8.15,2
CHEMBL1683445,C[C@@H](C[C@@](C)(CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1)N(O)C=O)c1ncc(F)cn1,8.14,2
CHEMBL3358155,O=C1NC(=O)[C@](CNC(=O)c2cc3cc(Cl)ccc3o2)(c2nccs2)N1,8.1,2
CHEMBL3622492,CCN(C(=O)c1ccc(CNc2nc(NCCN(C)C)nc(N3CCc4ccccc4C3)n2)cc1)c1cccc(C)c1,8.1,1
CHEMBL4589438,CCn1ccnc1[C@]1(CNC(=O)c2cc3cc(Cl)ccc3o2)NC(=O)NC1=O,8.1,1
CHEMBL366111,O=C(NO)[C@@]1(O)COCC[C@H]1S(=O)(=O)c1ccc(OCc2ccc(Cl)cc2Cl)cc1,8.09,1
CHEMBL1784370,O=CN(O)C1(CS(=O)(=O)N2CCC(CCc3ccc(F)cc3C(F)(F)F)CC2)CCN(C(=O)C2CCC2)CC1,8.06,2
CHEMBL1784350,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOC(C)(C)C2)CC1,8.01,2
CHEMBL1784345,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(=O)C3CCC3)CC2)CC1,8.0,2
CHEMBL3622483,CCN(C(=O)c1ccc(CNc2nc(NCCN3CCN(C)CC3)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,8.0,1
CHEMBL1784341,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(=O)N3CCC3)CC2)CC1,7.96,2
CHEMBL3358153,O=C1NC(=O)[C@](CNC(=O)c2cc3cc(Cl)ccc3o2)(c2ccccc2)N1,7.92,1
CHEMBL4094455,C[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,7.92,1
CHEMBL4868710,COCC(CC1(C)NC(=O)NC1=O)C(=O)N1CCN(c2cc(Cl)cc(Cl)c2)CC1,7.92,1
CHEMBL5891291,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)CC2)c1,7.9,1
CHEMBL1784366,Cc1nsc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,7.89,2
CHEMBL3622484,CCN(C(=O)c1ccc(CNc2nc(NCCN(C)C)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,7.85,1
CHEMBL3955404,CC(C)[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,7.85,2
CHEMBL4856943,CC(CC1(C)NC(=O)NC1=O)C(=O)N1CCN(c2cc(Cl)cc(Cl)c2)CC1,7.82,1
CHEMBL1784347,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCS(=O)(=O)CC2)CC1,7.8,2
CHEMBL3358154,Cc1cccnc1[C@]1(CNC(=O)c2cc3cc(Cl)ccc3o2)NC(=O)NC1=O,7.77,1
CHEMBL1784338,Cc1cc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)cn1,7.75,2
CHEMBL4874034,C[C@@H](C[C@@]1(C2CC2)NC(=O)NC1=O)C(=O)N1CCN(c2ccc(F)c(F)c2)[C@@H](C)C1,7.75,1
CHEMBL1784351,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C)CC2)CC1,7.72,2
CHEMBL1784346,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCC(F)(F)CC2)CC1,7.7,2
CHEMBL1784353,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCCCC2)CC1,7.7,2
CHEMBL1784357,O=CN(O)C1(CS(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)CCOCC1,7.68,1
CHEMBL3358157,Cn1nccc1[C@]1(CNC(=O)c2cc3cc(Cl)ccc3o2)NC(=O)NC1=O,7.66,1
CHEMBL3622482,CCN(C(=O)c1ccc(CNc2nc(O)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,7.66,1
CHEMBL1767014,C[C@@H]1[C@](C)(c2ccccc2)[C@]1(NS(=O)(=O)N1CCc2c(nc3cc(F)ccn23)C1)C(=O)O,7.64,1
CHEMBL3622490,CCN(C(=O)c1ccc(CNc2ncnc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,7.64,1
CHEMBL4864283,CC1[C@](C)(c2ccccc2)[C@]1(NS(=O)(=O)N1CCc2c(nc3cc(F)ccn23)C1)C(=O)O,7.64,1
CHEMBL1784348,CC(=O)N1CCC(CS(=O)(=O)N2CCC(CCc3c(C)noc3C)CC2)(N(O)C=O)CC1,7.62,1
CHEMBL6017575,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(C(N)=O)CC2)CC1,7.62,1
CHEMBL4877087,O=C1NC(=O)C(CCC(=O)N2CCN(c3cccc(Cl)c3)CC2)(C2CC2)N1,7.6,1
CHEMBL182880,Cc1ccc(C)c(COc2ccc(S(=O)(=O)[C@@H]3CCOC[C@]3(O)C(=O)NO)cc2)c1,7.58,1
CHEMBL1784340,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,7.58,2
CHEMBL1784342,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCN(S(C)(=O)=O)CC2)CC1,7.54,2
CHEMBL3622481,CCN(C(=O)c1ccc(CNc2nc(NC)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,7.52,1
CHEMBL4846457,CC1(CC(CO)C(=O)N2CCN(c3cc(Cl)cc(Cl)c3)CC2)NC(=O)NC1=O,7.52,1
CHEMBL5915765,COc1cccc(N2CCN(C(=O)CCC3(C4CC4)NC(=O)NC3=O)CC2)c1,7.43,1
CHEMBL5958253,COc1cc(F)cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)CC2)c1,7.43,1
CHEMBL5768101,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C4CC4)NC(=O)NC3=O)C[C@@H]2C)cc(F)c1F,7.43,1
CHEMBL5851756,COc1cc(N2CCN(C(=O)CC[C@@]3(C4CC4)NC(=O)NC3=O)C[C@@H]2C)cc(F)c1F,7.43,1
CHEMBL5845893,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)CC2)cc(OC)c1Cl,7.43,1
CHEMBL5740606,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)C[C@@H]2C)cc(F)c1F,7.43,1
CHEMBL5787381,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(C)NC(=O)NC3=O)CC2)cc(F)c1F,7.43,1
CHEMBL6004626,COC[C@]1(C[C@H](C)C(=O)N2CCN(c3cc(F)c(F)c(OC)c3)[C@@H](C)C2)NC(=O)NC1=O,7.43,1
CHEMBL5993251,COC[C@]1(C[C@H](C)C(=O)N2CCN(c3ccc(Cl)c(OC)c3)[C@@H](C)C2)NC(=O)NC1=O,7.43,1
CHEMBL5914760,COc1cc(N2CCN(C(=O)[C@@H](C)C[C@@]3(c4ccccn4)NC(=O)NC3=O)CC2)cc(F)c1F,7.43,1
CHEMBL5764514,COc1cc(N2CCN(C(=O)[C@@H](CO)C[C@@]3(C)NC(=O)NC3=O)CC2)cc(F)c1F,7.43,1
CHEMBL5933095,COC[C@]1(C[C@H](C)C(=O)N2CCN(c3cc(F)c(F)c(OC)c3)CC2)NC(=O)NC1=O,7.43,1
CHEMBL5968483,COc1cc(N2CCN(C(=O)CC[C@@]3(C)NC(=O)NC3=O)C[C@@H]2C)cc(Cl)c1Cl,7.43,1
CHEMBL184064,O=C(NO)[C@@]1(O)COCC[C@H]1S(=O)(=O)c1ccc(OCc2ccccc2Cl)cc1,7.4,1
CHEMBL3622507,CCN(C)C(=O)c1ccc(CNc2nc(NCCN(C)C)nc(N3CCc4ccccc4C3)n2)cc1,7.37,1
CHEMBL1784344,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCCCCC2)CC1,7.32,2
CHEMBL1784343,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCC2)CC1,7.29,2
CHEMBL1784352,Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCCC2)CC1,7.28,2
CHEMBL4877662,CC(C)C(CC1(C)NC(=O)NC1=O)C(=O)N1CCN(c2cc(Cl)cc(Cl)c2)CC1,7.27,1
CHEMBL183935,Cc1ccccc1COc1ccc(S(=O)(=O)[C@@H]2CCOC[C@]2(O)C(=O)NO)cc1,7.26,1
CHEMBL3622480,CCN(C(=O)c1ccc(CNc2nc(NCc3ccccc3)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,7.22,1
CHEMBL3622478,CCN(C(=O)c1ccc(CNc2nc(NC(C)C)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1,7.22,1
CHEMBL3622488,CCN(C(=O)c1ccc(CNc2nc(NCc3ccccc3)nc(N3CCc4ccccc4C3)n2)cc1)c1cccc(C)c1,7.21,1
CHEMBL3622493,CCN(C(=O)c1ccc(CNc2ncnc(N3CCc4ccccc4C3)n2)cc1)c1cccc(C)c1,7.2,1
CHEMBL3622503,CCN(C)C(=O)c1ccc(CNc2nc(NCCN3CCN(C)CC3)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1,7.19,1
CHEMBL8943,O=C(C[C@@H](Cc1cccc(O)c1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)NO,7.19,1
