molecule_chembl_id,canonical_smiles,pIC50_median,n_measurements
CHEMBL1767013,C[C@@H]1[C@](C)(c2ccccc2)[C@]1(NS(=O)(=O)N1CCn2c(nc3cc(F)ccc32)C1)C(=O)O,7.85,1
CHEMBL6030162,COCC1(CC(C)C(=O)N2CCN(c3ccc(F)c(F)c3)CC2)NC(=O)NC1=O,7.85,2
CHEMBL5970747,COC[C@]1(C[C@H](C)C(=O)N2CCN(c3ccc(F)c(Cl)c3)[C@@H](C)C2)NC(=O)NC1=O,7.85,2
CHEMBL6036614,CC(CC1(C2CC2)NC(=O)NC1=O)C(=O)N1CCN(c2cccc(Cl)c2)CC1,7.82,2
CHEMBL5760423,CCC(CC1(C)NC(=O)NC1=O)C(=O)N1CCN(c2cc(Cl)cc(Cl)c2)CC1,7.82,2
CHEMBL5932436,C[C@H]1CN(C(=O)CC[C@@]2(C3CC3)NC(=O)NC2=O)CCN1c1cc(Cl)cc(Cl)c1,7.8,1
CHEMBL5845522,Cc1c(Cl)cccc1N1CCN(C(=O)C(C)CC2(C3CC3)NC(=O)NC2=O)CC1,7.8,1
CHEMBL5831615,CC(CC1(CCNC(=O)OC(C)(C)C)NC(=O)NC1=O)C(=O)N1CCN(c2ccc(F)c(F)c2)CC1,7.8,1
CHEMBL4102193,O=C(CCc1ccc(C(F)(F)F)cc1)NC[C@@]1(C2CC2)NC(=O)NC1=O,7.79,2
CHEMBL4450729,CCn1ccnc1[C@]1(CNC(=O)c2cc3cc(C(F)(F)F)ccc3o2)NC(=O)NC1=O,7.79,2
CHEMBL24398,O=C(NO)[C@@H](NCC1CC1)[C@@H](Cc1cccc(O)c1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,7.77,3
CHEMBL1766899,COc1cnn(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)[C@H](C)[C@@H]3c3ccccc3)s2)c1,7.77,1
CHEMBL1767010,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCc2c(nc3cc(F)ccn23)C1)C(=O)O,7.77,1
CHEMBL1767017,C[C@@H]1CN(S(=O)(=O)N[C@@]2(C(=O)O)[C@H](C)[C@]2(C)c2ccccc2)CCN1c1cc(C(F)F)on1,7.77,1
CHEMBL6040418,CC(CC1(C2CC2)NC(=O)NC1=O)C(=O)N1CCN(c2cc(Cl)cc(Cl)c2)CC1,7.77,2
CHEMBL5769562,CC(CC1(c2ccccn2)NC(=O)NC1=O)C(=O)N1CCN(c2ccc(F)c(Cl)c2)[C@@H](C)C1,7.77,2
