id,measured,predicted
CHEMBL106016,9.7,9.411041666666627
CHEMBL102798,9.7,9.501791666666634
CHEMBL1916212,9.7,9.239024999999959
CHEMBL2425944,9.7,8.632875000000015
CHEMBL471537,9.68,8.924974999999987
CHEMBL1801420,9.52,8.88850000000001
CHEMBL76043,9.47,8.925324999999965
CHEMBL2425933,9.4,7.300185416666654
CHEMBL5268799,9.37,8.823358333333292
CHEMBL1916054,9.34,8.435150416666652
CHEMBL235095,9.3,8.082748750000002
CHEMBL78145,9.28,9.002558333333377
CHEMBL333586,9.22,8.390191666666656
CHEMBL1801393,9.22,9.404995833333295
CHEMBL279786,9.17,7.601789583333326
CHEMBL430664,9.15,8.668299999999968
CHEMBL4461597,9.12,6.071977261904757
CHEMBL1916215,9.1,7.508689166666673
CHEMBL19932,9.05,8.162037499999979
CHEMBL102415,9.05,8.511337500000014
CHEMBL141080,9.05,8.46220333333336
CHEMBL125598,9.05,8.407087499999992
CHEMBL254506,9.05,8.529062499999998
CHEMBL4444377,9.04,6.218286666666656
CHEMBL320442,9.0,8.498449999999966
CHEMBL319341,9.0,8.730537500000016
CHEMBL1916201,9.0,7.877483333333334
CHEMBL5205063,9.0,7.621427083333312
CHEMBL5274327,8.98,7.352291666666669
CHEMBL2043425,8.96,8.863030833333353
CHEMBL209465,8.92,7.780581250000007
CHEMBL278050,8.85,7.54036666666668
CHEMBL15763,8.85,7.783249999999993
CHEMBL1801427,8.82,8.684420833333315
CHEMBL1801056,8.82,8.820728571428566
CHEMBL1812924,8.82,7.790924999999975
CHEMBL3350758,8.8,8.514029166666658
CHEMBL1801050,8.77,8.733950000000004
CHEMBL73652,8.74,8.481312499999964
CHEMBL210441,8.74,6.278208333333332
CHEMBL271720,8.74,8.450965000000002
CHEMBL332134,8.72,8.53391249999996
CHEMBL398265,8.72,8.708865416666647
CHEMBL80732,8.7,8.612363750000007
CHEMBL80272,8.7,8.138740833333337
CHEMBL99745,8.7,8.046014166666685
CHEMBL101864,8.7,8.354268750000012
CHEMBL100777,8.7,8.240920833333329
CHEMBL435690,8.7,7.804849999999996
CHEMBL1801413,8.7,8.854702083333324
CHEMBL3617404,8.7,8.373149166666652
CHEMBL1801415,8.66,8.884181249999973
CHEMBL254509,8.6,8.587924999999968
CHEMBL199917,8.57,7.546412499999997
CHEMBL73763,8.55,8.006100416666623
CHEMBL253450,8.55,8.526637499999989
CHEMBL1801045,8.54,8.566650000000003
CHEMBL279785,8.52,8.221582083333312
CHEMBL285546,8.52,8.585724999999966
CHEMBL319902,8.52,8.00847500000001
CHEMBL2064544,8.52,8.51072500000001
CHEMBL2425932,8.52,7.385872321428565
CHEMBL429486,8.49,8.646999999999988
CHEMBL126712,8.48,7.561549999999996
CHEMBL2336782,8.47,7.294456250000012
CHEMBL1089843,8.46,6.930625000000001
CHEMBL2336785,8.46,8.240500000000008
CHEMBL127138,8.42,7.529162916666666
CHEMBL333729,8.41,8.475573749999992
