id,measured,predicted
CHEMBL4644038,9.74,8.97796291666666
CHEMBL5219006,9.47,9.32439
CHEMBL5218586,9.44,9.15116833333334
CHEMBL5078985,9.42,8.995225000000021
CHEMBL5288006,9.4,8.600150000000031
CHEMBL4876454,9.38,6.685333333333323
CHEMBL5219490,9.31,9.064303333333335
CHEMBL5906819,9.27,7.9620755952380735
CHEMBL4648704,9.22,9.094609166666636
CHEMBL5796974,9.22,7.02082500000001
CHEMBL5083475,9.21,8.688200000000034
CHEMBL4788187,9.15,8.808343750000011
CHEMBL4288953,9.12,8.009300833333313
CHEMBL4639206,9.11,8.977315833333332
CHEMBL3759794,9.1,8.625324999999952
CHEMBL4638330,9.1,8.757854821428605
CHEMBL5084347,9.05,8.895700000000023
CHEMBL4526892,9.02,7.764533333333345
CHEMBL343448,9.0,6.180810833333334
CHEMBL3356916,9.0,7.755735416666661
CHEMBL5220720,9.0,9.225073333333329
CHEMBL4641343,8.92,8.77975750000002
CHEMBL2375871,8.92,7.705941666666669
CHEMBL5853881,8.89,7.383304166666675
CHEMBL6161573,8.89,7.6223625000000155
CHEMBL1091815,8.85,8.262474999999974
CHEMBL4532398,8.83,7.308787500000011
CHEMBL216641,8.8,6.879558333333335
CHEMBL5089258,8.79,9.048900000000005
CHEMBL1088735,8.78,8.384024999999998
CHEMBL3356925,8.7,7.672529434523849
CHEMBL4090165,8.7,6.141949999999996
CHEMBL5074837,8.69,8.622900000000005
CHEMBL4649561,8.68,8.57051958333338
CHEMBL3758492,8.62,8.62129999999995
CHEMBL4443998,8.6,8.129450000000002
CHEMBL3593407,8.59,8.149488749999996
CHEMBL4160632,8.58,7.0749999999999895
CHEMBL4641048,8.55,8.89084503968254
CHEMBL3356527,8.52,8.009325833333358
CHEMBL3339022,8.46,7.826449999999987
CHEMBL3339026,8.45,7.89164999999999
CHEMBL5090786,8.45,7.393266666666673
CHEMBL4781191,8.44,8.38135666666665
CHEMBL4755724,8.43,7.139750000000013
CHEMBL3356922,8.4,8.307895198412696
CHEMBL5570460,8.4,6.9494124999999825
CHEMBL468595,8.39,7.280050000000014
CHEMBL5614363,8.38,8.258516666666678
CHEMBL5555610,8.35,7.541592916666674
CHEMBL6169065,8.34,7.515284999999994
CHEMBL4782188,8.33,7.924485416666653
CHEMBL4454646,8.3,7.7037916666666515
CHEMBL490018,8.28,7.869795833333331
CHEMBL3601334,8.27,7.487400000000016
CHEMBL5415232,8.22,6.372756249999996
CHEMBL5219811,8.21,8.44383958333332
CHEMBL6152466,8.2,6.877204166666673
CHEMBL3339020,8.19,7.6533000000000015
CHEMBL3356526,8.15,7.434298511904757
CHEMBL6164091,8.15,7.366714583333337
CHEMBL520056,8.11,8.18247499999998
CHEMBL2012817,8.05,7.381858333333337
CHEMBL4636734,8.05,7.871450000000007
CHEMBL5563252,8.05,6.077649999999995
CHEMBL5613525,8.05,6.869625000000001
CHEMBL598797,8.04,7.336825000000001
CHEMBL2442801,8.02,7.12072499999999
CHEMBL5563126,8.02,6.03997083333333
CHEMBL1801238,8.0,6.757160000000008
CHEMBL99,7.99,7.329625000000002
CHEMBL467793,7.99,7.149250000000008
CHEMBL487742,7.92,7.8982250000000045
CHEMBL4739902,7.92,7.965962500000006
CHEMBL3335299,7.89,6.631404166666673
CHEMBL4765007,7.89,7.022258333333327
CHEMBL1162969,7.86,6.856849999999992
CHEMBL217651,7.85,6.616273749999997
CHEMBL272401,7.85,6.5768487499999955
CHEMBL3233687,7.85,8.007725000000008
CHEMBL5435277,7.85,7.046804999999989
CHEMBL3339016,7.84,7.723799999999983
CHEMBL3339025,7.83,7.941249999999997
CHEMBL5598116,7.83,6.845883333333348
CHEMBL487943,7.82,7.808600000000018
CHEMBL487253,7.8,6.453149999999985
CHEMBL3961271,7.8,6.9806749999999935
CHEMBL4789871,7.8,8.138749999999973
CHEMBL3601331,7.78,7.478600000000023
CHEMBL5274036,7.78,7.30666666666668
CHEMBL6171267,7.78,7.640274999999999
CHEMBL3601338,7.72,7.683500000000029
CHEMBL4092753,7.72,6.478187500000007
CHEMBL5072785,7.71,7.861849999999986
CHEMBL3426803,7.7,6.40464166666667
CHEMBL3655959,7.66,7.141787499999995
CHEMBL3655995,7.66,6.715637500000001
CHEMBL483495,7.6,7.864125000000019
CHEMBL511432,7.6,7.135249999999986
CHEMBL3758246,7.59,8.232674999999979
CHEMBL5283156,7.58,6.915020833333332
