rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,spare_MMP1,min_offtarget_sel,pareto
1937,CAND-05168,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c(Cl)c1,0.3348481332071863,7.751264146943369,0.6180696595025674,0.8357705328716605,1.0,0.5355381222102967,2,0.5,-2.868323,0,0.7936507936507936,True,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c(Cl)c1,5.53,8.06,6.62,7.11,8.52,2.99,0.46,True
1877,CAND-05172,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c(C)c1,0.3395612319118404,7.751264146943369,0.6180696595025674,0.8219376374337043,1.0,0.566958780241324,2,0.5,-2.9887090000000005,0,0.8064516129032258,True,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCN(C(=O)OC(C)(C)C)CC3)cc2)c(C)c1,5.56,7.67,6.68,7.17,8.51,2.95,0.84,True
2871,CAND-00585,COc1ccc(S(=O)(=O)N2CCCCCC2C(=O)NO)c(Cl)c1,0.2884506326867689,7.361645969119345,0.5367299727921506,0.7466060623463416,0.6,0.6284542632582089,2,0.5,-3.6443105,2,0.6923076923076923,True,COc1ccc(S(=O)(=O)N2CCCCCC2C(=O)NO)c(Cl)c1,6.98,7.53,6.87,7.88,8.39,1.41,0.51,True
19,CAND-04922,O=C1[C@H](CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)NCCCN1O,0.6942321771226282,7.7962030620948335,0.6274514529803272,0.7699081932426051,0.8,0.7350215021082152,1,1.0,-3.4415149000000014,1,0.82,True,O=C1[C@H](CS(=O)(=O)c2ccc(Oc3ccc(Cl)cc3)cc2)NCCCN1O,5.82,7.9,6.59,8.25,8.34,2.52,0.09,True
71,CAND-04947,N#Cc1ccc(Oc2ccc(S(=O)(=O)C[C@@H]3NCCCN(O)C3=O)cc2)cc1,0.6554892155407658,7.4340695182184655,0.5518496697916054,0.712746906399778,0.8,0.7318812688165435,1,1.0,-3.938982600000002,1,0.7884615384615384,True,N#Cc1ccc(Oc2ccc(S(=O)(=O)C[C@@H]3NCCCN(O)C3=O)cc2)cc1,5.65,7.92,6.12,8.03,8.18,2.53,0.15,True
25,CAND-04917,O=C1[C@H](CS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)NCCCN1O,0.681192902991674,7.6192445731442895,0.5905082381324638,0.7394840619331218,0.8,0.7531292797514736,1,1.0,-3.7062924000000015,1,0.82,True,O=C1[C@H](CS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)NCCCN1O,5.8,7.79,6.18,7.91,8.17,2.37,0.26,True
1762,CAND-05607,COc1cc(F)cc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)c1,0.3518857357135047,7.405851018183053,0.5459585587424823,0.8234388075236582,1.0,0.7693073068525605,2,0.5,-2.9756445,0,0.7391304347826086,True,COc1cc(F)cc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)c1,5.49,7.51,7.53,5.27,8.07,2.58,0.54,True
1870,CAND-03245,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCCC4(C3)OCCO4)c(C#N)c2)cc1,0.3399866136926499,7.635837281508971,0.5939722595177034,0.7505636842268,1.0,0.6099569920881607,2,0.5,-3.6098678000000017,0,0.7313432835820896,True,COc1ccc(-c2ccc(S(=O)(=O)NC(C(=O)O)C3CCCC4(C3)OCCO4)c(C#N)c2)cc1,5.38,7.37,5.69,7.49,7.98,2.6,0.49,True
1823,CAND-05601,Cc1cc(F)cc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)c1,0.3452843781589594,7.123760264115496,0.4870671238307267,0.8591127654450946,1.0,0.8234506480085186,2,0.5,-2.6651784000000003,0,0.7441860465116279,True,Cc1cc(F)cc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)c1,5.46,7.72,7.85,5.21,7.56,2.1,-0.29,True
1822,CAND-05602,Cc1ccc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)cc1F,0.3452843781589594,7.123760264115496,0.4870671238307267,0.8591127654450946,1.0,0.8234506480085186,2,0.5,-2.6651783999999994,0,0.7391304347826086,True,Cc1ccc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)cc1F,5.32,7.61,7.82,5.09,7.46,2.14,-0.36,True
1944,CAND-05595,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cc(F)cc(Cl)c2)cc1)C(=O)O,0.3339529812763401,6.984787785214827,0.4580541605283421,0.8729456608830509,1.0,0.7962629409616969,2,0.5,-2.5447923999999995,0,0.7272727272727273,False,CC(C)[C@H](NS(=O)(=O)c1ccc(-c2cc(F)cc(Cl)c2)cc1)C(=O)O,5.25,7.7,7.67,5.61,7.44,2.19,-0.26,True
1783,CAND-03113,Cc1cc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)ccc1C#N,0.3493110056660828,7.237996215503449,0.5109158994419081,0.8323756099117509,1.0,0.8105468720373725,2,0.5,-2.8978686,0,0.7021276595744681,True,Cc1cc(-c2ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc2)ccc1C#N,5.06,7.39,7.76,5.18,7.33,2.27,-0.43,True
281,CAND-04345,N#Cc1ccc(-c2ccc(CCC(O)CC(=O)O)c(C#N)c2)cc1,0.6129689733344863,6.300893619366627,0.3152791557689406,0.8643201463276874,1.0,0.8510979848333866,1,1.0,-2.6198592,0,0.6818181818181818,False,N#Cc1ccc(-c2ccc(CCC(O)CC(=O)O)c(C#N)c2)cc1,5.07,5.0,5.95,5.05,6.07,1.0,0.12,True
564,CAND-04325,N#Cc1ccc(-c2ccc(CCC(O)CC(=O)O)cc2Cl)cc1,0.5721980187317275,5.921432284624281,0.236059889719707,0.9214814331705145,1.0,0.8472269129062467,1,1.0,-2.1223915,0,0.7111111111111111,False,N#Cc1ccc(-c2ccc(CCC(O)CC(=O)O)cc2Cl)cc1,4.86,5.01,5.98,5.12,5.87,1.01,-0.11,True
552,CAND-02796,N#Cc1ccc(F)c(-c2ccc(CCC(O)CC(=O)O)cc2)c1,0.5731067551423367,5.898628721242272,0.2312992424836545,0.8910573018610312,1.0,0.8581904463350313,1,1.0,-2.387169,0,0.7111111111111111,False,N#Cc1ccc(F)c(-c2ccc(CCC(O)CC(=O)O)cc2)c1,4.9,5.16,5.91,5.16,5.87,0.97,-0.04,True
553,CAND-04321,N#Cc1ccc(-c2ccc(CCC(O)CC(=O)O)cc2F)cc1,0.5731067551423367,5.898628721242272,0.2312992424836545,0.8910573018610312,1.0,0.8581904463350313,1,1.0,-2.387169,0,0.7111111111111111,False,N#Cc1ccc(-c2ccc(CCC(O)CC(=O)O)cc2F)cc1,4.85,5.09,5.88,5.05,5.84,0.99,-0.04,True
