rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_mmp1,pIC50_mmp2,pIC50_mmp3,pIC50_mmp9,pIC50_mmp13,spare_MMP1,min_offtarget_sel,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
3609,CAND-00577,COc1ccc(-c2ccc(S(=O)(=O)N(OC(C)C)[C@H](CCNC(C)=O)C(=O)NO)cc2C#N)cc1,0.2723353579446846,7.969705706777119,0.6636731992055764,0.6617442260105703,0.6,0.3094470542886038,2,0.5,-4.382852700000002,2,0.7538461538461538,True,COc1ccc(-c2ccc(S(=O)(=O)N(OC(C)C)[C@H](CCNC(C)=O)C(=O)NO)cc2C#N)cc1,6.16,8.08,7.44,8.51,8.52,2.36,0.01,False,3.44,504.6,1.96,3,8,158.1,11,True,False,1.392,False
3610,CAND-02121,O=C(NO)c1cccc(F)c1S(=O)(=O)N1CCC(Oc2ccc(OC(F)(F)F)cc2)CC1,0.2723237114411612,7.778928559055418,0.6238450948962369,0.7706765482714629,0.6,0.3757495847806803,2,0.5,-3.4348280000000004,2,0.8245614035087719,True,O=C(NO)c1cccc(F)c1S(=O)(=O)N1CCC(Oc2ccc(OC(F)(F)F)cc2)CC1,6.31,8.25,5.88,8.42,7.74,1.43,-0.68,False,2.6,478.4,3.08,2,6,105.2,6,True,True,0.649,False
3611,CAND-03532,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)csc2Br)c(C#N)c1,0.2722682311688296,7.826659278631506,0.6338097269328234,0.7575106505860546,0.6,0.3587719962374917,2,0.5,-3.549409200000001,2,0.7391304347826086,True,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C(=O)NO)csc2Br)c(C#N)c1,6.56,6.76,6.24,7.75,7.93,1.37,0.18,False,2.98,523.4,3.3,2,8,132.6,7,True,True,1.083,False
3612,CAND-02987,CC(=O)N1CCN(S(=O)(=O)c2ccc(OCc3ccccc3C)c(C#N)c2)[C@@H](C(=O)NO)[C@@H]1C,0.2722276703713043,7.516627772842642,0.5690851658456996,0.6414299917961617,0.6,0.466375859399196,2,0.5,-4.5596450000000015,2,0.7285714285714285,True,CC(=O)N1CCN(S(=O)(=O)c2ccc(OCc3ccccc3C)c(C#N)c2)[C@@H](C(=O)NO)[C@@H]1C,6.15,6.72,6.49,6.44,7.59,1.44,0.87,False,3.48,486.6,1.56,2,7,140.0,6,True,True,1.017,False
3613,CAND-03388,COc1c(Cl)ccc2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc4)c(C)c3)c(C)c12,0.272222547393847,7.461506750258111,0.5575776773264944,0.9360177855649336,1.0,0.2188541870814893,2,0.5,-1.995883399999998,0,0.8382352941176471,True,COc1c(Cl)ccc2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc4)c(C)c3)c(C)c12,4.49,5.92,6.1,5.54,7.91,3.42,1.81,False,3.07,585.1,6.02,3,6,134.9,9,False,True,0.908,False
3614,CAND-04801,COc1ccc(S(=O)(=O)N2C[C@@H](O)CS(=O)(=O)C(C)(C)[C@@H]2C(=O)NO)cc1C,0.2722071710534747,7.650539508470839,0.5970416094687313,0.5031610635373843,0.6,0.4196451245752793,2,0.5,-5.762982600000001,2,0.7457627118644068,True,COc1ccc(S(=O)(=O)N2C[C@@H](O)CS(=O)(=O)C(C)(C)[C@@H]2C(=O)NO)cc1C,8.24,6.64,6.58,6.17,7.92,-0.32,-0.32,False,3.71,436.5,-0.56,3,8,150.3,4,True,False,1.238,False
3615,CAND-05272,COc1ccc(S(=O)(=O)N(Cc2cccc(O)c2)c2cccc(C)c2C(=O)NO)cc1,0.2721774142751977,7.757655830126951,0.6194040364318173,0.8079586868615033,0.6,0.3821760344482896,2,0.5,-3.1103661000000007,2,0.8214285714285714,True,COc1ccc(S(=O)(=O)N(Cc2cccc(O)c2)c2cccc(C)c2C(=O)NO)cc1,5.95,7.17,6.57,7.89,7.58,1.63,-0.31,False,2.42,442.5,3.22,3,6,116.2,7,True,True,1.102,False
3616,CAND-03899,Cc1cc(C)c(N(Cc2ccc(O)cc2)S(=O)(=O)c2ccc(Oc3ccccc3)cc2)c(C(=O)NO)c1,0.2721242440350627,8.237433324082366,0.7195660752437445,0.9253000320732984,0.6,0.2148848348275103,2,0.5,-2.0891586999999983,2,0.8888888888888888,True,Cc1cc(C)c(N(Cc2ccc(O)cc2)S(=O)(=O)c2ccc(Oc3ccccc3)cc2)c(C(=O)NO)c1,6.13,6.54,6.27,8.27,8.27,2.14,0.0,False,2.47,518.6,5.32,3,6,116.2,8,False,True,0.993,False
3617,CAND-03904,Cc1cc(C)c(N(Cc2ccccc2)S(=O)(=O)c2ccc(Oc3ccc(O)cc3)cc2)c(C(=O)NO)c1,0.2721242440350627,8.237433324082366,0.7195660752437445,0.9253000320732984,0.6,0.2148848348275103,2,0.5,-2.089158699999998,2,0.9056603773584906,True,Cc1cc(C)c(N(Cc2ccccc2)S(=O)(=O)c2ccc(Oc3ccc(O)cc3)cc2)c(C(=O)NO)c1,6.08,6.4,6.27,8.22,8.27,2.19,0.05,False,2.46,518.6,5.32,3,6,116.2,8,False,True,0.985,False
3618,CAND-03824,COc1cc2ccccc2cc1S(=O)(=O)N(CCC(C)C)[C@@H](C(=O)NO)C(C)(C)C,0.2720566594390221,7.460931547185883,0.5574575935102024,0.8595539987984891,0.6,0.4846150737431433,2,0.5,-2.6613384000000004,2,0.7017543859649122,True,COc1cc2ccccc2cc1S(=O)(=O)N(CCC(C)C)[C@@H](C(=O)NO)C(C)(C)C,6.93,6.15,6.79,7.32,7.86,0.93,0.54,False,3.17,436.6,3.81,2,5,95.9,8,True,True,0.922,False
3619,CAND-03763,COc1c(Br)ccc2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)c(F)c4)cc3)c(C)c12,0.2720372503941768,7.491559881425388,0.5638518000778141,0.8971706818959275,1.0,0.2071620024981554,2,0.5,-2.3339649999999987,0,0.7857142857142857,True,COc1c(Br)ccc2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)c(F)c4)cc3)c(C)c12,4.71,5.99,6.59,5.35,8.17,3.46,1.58,False,3.14,633.5,5.96,3,6,134.9,9,False,True,0.89,False
3620,CAND-04635,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3ncc(Cl)s3)cc12)C(=O)O,0.2720332955520601,6.863185601350904,0.4326675535839879,0.9167667054136194,1.0,0.4257760477070877,2,0.5,-2.163423199999999,0,0.7230769230769231,False,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3ncc(Cl)s3)cc12)C(=O)O,5.11,6.85,6.16,6.3,6.77,1.66,-0.08,False,3.07,465.0,4.75,2,6,109.5,6,True,True,1.072,False
3621,CAND-04703,COc1c(CO)cc(O)c2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc4)cc3)c(C)c12,0.271997093306771,7.560409816765446,0.5782254419901846,0.7938284415089861,1.0,0.1829382187281659,2,0.5,-3.2333399,0,0.7746478873239436,True,COc1c(CO)cc(O)c2oc(C(=O)Nc3ccc(-c4ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc4)cc3)c(C)c12,5.01,6.15,6.3,5.74,8.03,3.02,1.73,False,3.22,582.6,4.25,5,8,175.4,10,True,False,0.574,False
3622,CAND-05443,O=C1c2c(cc(O)c(F)c2O)O[C@H](c2cc(O)c(O)c(O)c2)[C@@H]1O,0.2719750115906313,5.032431886971004,0.0504653308764757,0.7021424028021809,0.6,0.422474487174645,1,1.0,-4.0312723,2,0.6666666666666666,False,O=C1c2c(cc(O)c(F)c2O)O[C@H](c2cc(O)c(O)c(O)c2)[C@@H]1O,5.02,4.84,4.73,4.87,4.91,-0.11,-0.11,False,3.77,338.2,1.03,6,8,147.7,1,True,False,0.399,False
3623,CAND-02267,COc1cc(OCc2oc3ccccc3c2C)ccc1-c1ccc(S(=O)(=O)N[C@H](Cc2ccccc2)C(=O)O)cc1,0.2719703678455252,7.508805268428003,0.5674520796741787,0.9414787951925648,1.0,0.2007156528465372,2,0.5,-1.948356899999998,0,0.8059701492537313,True,COc1cc(OCc2oc3ccccc3c2C)ccc1-c1ccc(S(=O)(=O)N[C@H](Cc2ccccc2)C(=O)O)cc1,5.12,6.91,5.92,5.77,7.97,2.85,1.06,False,2.9,571.7,5.97,2,6,115.1,11,False,False,0.965,False
3624,CAND-03513,COc1ccc(S(=O)(=O)N(Cc2cncc(OC)c2)c2c(C(=O)NO)csc2Br)cc1,0.2719591248349285,7.875152478787125,0.6439335402781678,0.7651650840694889,0.6,0.3398382651025776,2,0.5,-3.4827936000000004,2,0.8,True,COc1ccc(S(=O)(=O)N(Cc2cncc(OC)c2)c2c(C(=O)NO)csc2Br)cc1,6.71,7.25,6.49,7.91,7.89,1.18,-0.02,False,2.82,528.4,3.44,2,8,118.1,8,True,True,1.033,False
3625,CAND-03499,COc1ccc(S(=O)(=O)N(Cc2cncc(Cl)c2)c2c(C(=O)NO)csc2Br)cc1,0.2719515046006987,7.844256674674786,0.6374834946432356,0.8146719374288818,0.6,0.3505375395992656,2,0.5,-3.0519415,2,0.7619047619047619,True,COc1ccc(S(=O)(=O)N(Cc2cncc(Cl)c2)c2c(C(=O)NO)csc2Br)cc1,6.67,7.12,6.34,7.62,7.33,0.66,-0.29,False,2.84,532.8,4.08,2,7,108.8,7,True,True,0.954,False
3626,CAND-03012,Cc1c(NS(=O)(=O)CC(F)(F)F)ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c12,0.2719440039809743,6.905915117175331,0.4415880958694058,0.7814133299514633,1.0,0.410313200090819,2,0.5,-3.3413870999999995,0,0.7301587301587301,False,Cc1c(NS(=O)(=O)CC(F)(F)F)ccc2oc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c12,5.43,6.32,6.32,6.08,6.9,1.47,0.58,False,3.28,522.5,3.59,3,6,142.8,8,True,False,1.007,False
3627,CAND-01147,Cc1c(C(=O)Nc2ccc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)cc2)oc2c(C(F)(F)F)cc(Br)cc12,0.2719282554290362,7.534302823258656,0.5727751452800749,0.954231909883511,1.0,0.1915631273934502,2,0.5,-1.8373680999999984,0,0.7101449275362319,True,Cc1c(C(=O)Nc2ccc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)cc2)oc2c(C(F)(F)F)cc(Br)cc12,4.79,6.45,6.66,5.33,8.08,3.29,1.42,False,3.14,653.5,6.83,3,5,125.7,8,False,True,0.786,False
3628,CAND-02406,CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCF)cc1Cl,0.2719104574650841,7.644134634462804,0.5957044787215399,0.8115632646069867,0.6,0.4198955852313273,2,0.5,-3.0789959,2,0.7333333333333333,True,CC(C)[C@H](C(=O)NO)N(Cc1ccccc1)S(=O)(=O)c1ccc(OCCF)cc1Cl,7.31,6.97,7.41,7.21,7.8,0.49,0.39,False,3.01,458.9,3.41,2,5,95.9,10,True,True,0.745,False
