id,measured,predicted
CHEMBL4087855,10.62,10.313900000000011
CHEMBL3359088,10.4,8.287324821428564
CHEMBL4103367,10.37,10.427025000000024
CHEMBL2425947,10.3,9.019300000000023
CHEMBL4069240,10.24,10.085425000000024
CHEMBL2425938,10.15,9.840375000000032
CHEMBL4584968,10.15,7.790148511904774
CHEMBL4084468,10.04,9.972250000000026
CHEMBL516206,10.0,7.238285952380956
CHEMBL1801417,10.0,9.601324999999985
CHEMBL1801044,10.0,9.090849999999996
CHEMBL3955430,9.96,9.172308333333344
CHEMBL3959990,9.92,8.756624999999996
CHEMBL4104248,9.85,10.19077500000004
CHEMBL1801046,9.82,9.229299999999974
CHEMBL3359089,9.82,8.419096249999987
CHEMBL150655,9.7,8.540049999999997
CHEMBL1771214,9.7,8.952950000000012
CHEMBL1770707,9.7,9.095437500000038
CHEMBL1770709,9.7,9.067099999999984
CHEMBL1801397,9.7,9.577324999999972
CHEMBL3337894,9.64,10.462274999999972
CHEMBL1801054,9.6,9.482624999999977
CHEMBL4079974,9.54,10.35135000000002
CHEMBL4102420,9.54,7.7181895833333165
CHEMBL342102,9.52,9.299600000000012
CHEMBL1801057,9.52,9.265524999999974
CHEMBL1800089,9.46,9.424774999999975
CHEMBL326369,9.43,9.045237500000006
CHEMBL3900916,9.42,8.572104166666676
CHEMBL1801056,9.4,9.181431666666642
CHEMBL1916050,9.4,8.129735
CHEMBL221634,9.36,9.219750000000019
CHEMBL3665976,9.35,6.332066666666676
CHEMBL372878,9.3,8.283374999999996
CHEMBL221632,9.28,9.224724999999966
CHEMBL374015,9.27,8.79170607142855
CHEMBL3617404,9.24,7.9450624999999855
CHEMBL344999,9.22,8.993825000000019
CHEMBL1801420,9.22,9.246889999999974
CHEMBL346624,9.15,8.801024999999996
CHEMBL101612,9.15,8.796474999999976
CHEMBL146256,9.15,8.356624166666675
CHEMBL343414,9.15,8.69734999999999
CHEMBL1910466,9.15,8.676625000000003
CHEMBL102785,9.1,8.48666607142858
CHEMBL148178,9.1,8.617612499999979
CHEMBL343220,9.1,9.024775000000036
CHEMBL210441,9.1,6.705388749999997
CHEMBL375667,9.08,8.474647083333311
CHEMBL183783,9.06,8.671712499999979
CHEMBL323612,9.05,8.523191666666667
CHEMBL356520,9.05,9.035925000000034
CHEMBL324806,9.03,9.045237500000006
CHEMBL78798,9.0,8.788124999999994
CHEMBL78299,9.0,7.85012000000003
CHEMBL34411,9.0,8.063700000000015
CHEMBL38352,9.0,8.576974999999981
CHEMBL287871,9.0,7.847191666666664
CHEMBL38180,9.0,8.729699999999994
CHEMBL357233,9.0,8.286649999999991
CHEMBL145175,9.0,8.563877499999997
CHEMBL356079,9.0,9.046325000000023
CHEMBL206688,9.0,8.398924999999986
CHEMBL1916661,9.0,8.010741666666677
CHEMBL2064544,9.0,8.498825000000034
CHEMBL2064551,9.0,9.533775000000004
