rank,id,smiles,fitness,pred_pIC50,affinity_norm,permeability_norm,safety_norm,druglikeness_qed,n_chelators,chelator_penalty,logKp_cm_h,struct_alerts,applicability_tanimoto,is_hit,canon,pIC50_adamts5,pIC50_adamts4,selectivity,pareto,sa_score,MW,cLogP,HBD,HBA,TPSA,rotB,lipinski_ok,veber_ok,pred_uncertainty,developable
1088,CAND-01985,N#Cc1c(Cl)cccc1-c1ccc(S(=O)(=O)N[C@@]2(C(=O)O)C[C@@H]2c2ccccc2)s1,0.3197184322765748,6.908580990262005,0.534264533266091,0.6225377991881763,1.0,0.5743486597336809,2,0.5,-2.496723,0,0.6721311475409836,False,N#Cc1c(Cl)cccc1-c1ccc(S(=O)(=O)N[C@@]2(C(=O)O)C[C@@H]2c2ccccc2)s1,6.97,6.7,0.27,False,3.45,458.9,4.23,2,5,107.3,6,True,True,0.538,False
1089,CAND-00029,O=CN(O)C1(CS(=O)(=O)N2CCC(CCc3ccccc3O)CC2)CCOCC1,0.3194061458230317,6.190770055572288,0.3152232287954558,0.2954227954049663,0.25,0.3726484380843459,1,1.0,-4.049849500000002,3,0.8166666666666667,False,O=CN(O)C1(CS(=O)(=O)N2CCC(CCc3ccccc3O)CC2)CCOCC1,6.13,7.57,-1.44,False,3.01,426.5,1.76,2,6,107.4,8,True,True,0.64,False
1090,CAND-01848,COc1cccc([C@@]2(C)C[C@@]2(NS(=O)(=O)c2ccc(-c3ccc(Cl)cc3)s2)C(=O)O)c1,0.3191496941831915,7.006456317299504,0.564131366263071,0.6445813853445249,1.0,0.520779017449492,2,0.5,-2.392061099999999,0,0.7931034482758621,True,COc1cccc([C@@]2(C)C[C@@]2(NS(=O)(=O)c2ccc(-c3ccc(Cl)cc3)s2)C(=O)O)c1,7.32,6.71,0.61,False,3.36,478.0,4.54,2,5,92.7,7,True,True,0.827,False
1091,CAND-00219,Cc1ncc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)c1Cl,0.3190727902385659,6.225772423342016,0.3259042646021286,0.3779146905955772,0.25,0.3537355264583388,1,1.0,-3.658181900000003,3,0.7647058823529411,False,Cc1ncc(CCC2CCN(S(=O)(=O)CC3(N(O)C=O)CCOCC3)CC2)c(C)c1Cl,6.17,7.44,-1.27,False,3.34,474.0,2.72,1,6,100.0,8,True,True,0.698,False
1092,CAND-01459,CCCCNc1nc(NCc2csc(-c3cccs3)n2)nc(N2CCC[C@@H]2CNS(=O)(=O)c2ccc(Cl)c(O)c2)n1,0.3190122553867731,5.980335697200177,0.2510088038881605,0.539243558144274,0.75,0.1450261781423095,1,1.0,-2.8922000999999984,1,0.825,False,CCCCNc1nc(NCc2csc(-c3cccs3)n2)nc(N2CCC[C@@H]2CNS(=O)(=O)c2ccc(Cl)c(O)c2)n1,6.0,6.18,-0.18,False,3.49,635.2,5.19,4,12,145.3,13,False,False,0.636,False
1093,CAND-01151,Cc1nc(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)C[C@@H]3c3ccccc3)s2)ccc1Cl,0.3189924591110581,6.863738396645704,0.5205807347519223,0.6102177306954946,1.0,0.592315169487184,2,0.5,-2.5552180999999994,0,0.7049180327868853,False,Cc1nc(-c2ccc(S(=O)(=O)N[C@@]3(C(=O)O)C[C@@H]3c3ccccc3)s2)ccc1Cl,7.04,6.79,0.25,False,3.4,449.0,4.06,2,5,96.4,6,True,True,0.599,False
1094,CAND-00032,O=CN(O)C1(CS(=O)(=O)N2CCC(CCc3ccccc3C(F)(F)F)CC2)CCOCC1,0.3188231051644686,6.226370416821203,0.3260867433934313,0.4249911093255459,0.25,0.3525991115591766,1,1.0,-3.4346653000000007,3,0.7903225806451613,False,O=CN(O)C1(CS(=O)(=O)N2CCC(CCc3ccccc3C(F)(F)F)CC2)CCOCC1,6.4,7.99,-1.59,False,3.07,478.5,3.08,1,5,87.2,8,True,True,0.723,False
1095,CAND-02067,Cc1cc(Cl)ccc1N1CCN(S(=O)(=O)N[C@@]2(C(=O)O)[C@H](C)[C@@H]2c2ccccc2)CC1,0.3187499461213211,6.67415966177733,0.462730441062246,0.4115465350590594,1.0,0.6871155723717306,2,0.5,-3.498499500000001,0,0.75,False,Cc1cc(Cl)ccc1N1CCN(S(=O)(=O)N[C@@]2(C(=O)O)[C@H](C)[C@@H]2c2ccccc2)CC1,7.11,6.99,0.12,False,3.44,464.0,2.86,2,4,90.0,6,True,True,0.463,False
1096,CAND-01927,O=C(O)[C@]1(NS(=O)(=O)c2cc(F)c(-c3cccc(Cl)c3)s2)C[C@@H]1c1ccccc1,0.3186519696810985,6.88792762880709,0.5279621226783455,0.6715463349728119,1.0,0.577742926743414,2,0.5,-2.2640327999999994,0,0.7166666666666667,False,O=C(O)[C@]1(NS(=O)(=O)c2cc(F)c(-c3cccc(Cl)c3)s2)C[C@@H]1c1ccccc1,7.21,6.61,0.6,False,3.41,451.9,4.5,2,4,83.5,6,True,True,0.592,False
1097,CAND-01926,O=C(O)[C@]1(NS(=O)(=O)c2sc(-c3cccc(Cl)c3)cc2F)C[C@@H]1c1ccccc1,0.3186519696810985,6.88792762880709,0.5279621226783455,0.6715463349728119,1.0,0.577742926743414,2,0.5,-2.2640327999999994,0,0.7166666666666667,False,O=C(O)[C@]1(NS(=O)(=O)c2sc(-c3cccc(Cl)c3)cc2F)C[C@@H]1c1ccccc1,7.17,6.59,0.58,False,3.44,451.9,4.5,2,4,83.5,6,True,True,0.63,False
1098,CAND-01613,C[C@@H]1[C@H](c2ccc(C(F)(F)F)cc2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,0.3186244909548391,7.001951487022649,0.5627567091596825,0.5325410690186977,1.0,0.5195687577661233,2,0.5,-2.924023200000001,0,0.8125,True,C[C@@H]1[C@H](c2ccc(C(F)(F)F)cc2)[C@]1(NS(=O)(=O)N1CCn2c(cc3cc(Cl)ccc32)C1)C(=O)O,7.14,6.86,0.28,False,3.94,528.0,4.22,2,4,91.6,5,True,True,0.551,False
1099,CAND-01398,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2Cl)C(CO)C1)C(=O)O,0.3186029113385897,6.99249659686919,0.5598715323355993,0.3027557247044907,1.0,0.524233521697933,2,0.5,-4.015033100000002,0,0.78125,False,C[C@@H]1[C@H](c2ccccc2)[C@]1(NS(=O)(=O)N1CCN(c2ccc(Cl)cc2Cl)C(CO)C1)C(=O)O,6.98,6.65,0.33,False,3.88,514.4,2.57,3,5,110.2,7,True,True,0.561,False
